zone_id,zone_name,borough,state_coverage_count,discovery_sources,singleton_value,singleton_gain_over_wait_only,reposition_time_from_start,reposition_distance_from_start,pair_synergy_with_best_anchor,rank_singleton,rank_coverage,rank_synergy,selection_rank_sum,selected_as_shapley_player,selection_reason,selected_player_order
124,Howard Beach,Queens,26,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,17.353308627293693,5.708274907749078,0.0,26.0,26.0,3.0,55.0,False,,
180,Ozone Park,Queens,23,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,25.605200222631503,6.132311278076098,0.0,26.0,28.0,3.0,57.0,False,,
162,Midtown East,Manhattan,81,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98555570455474,1.9356896729050277e-05,70.25586732213625,12.350195390622892,-1.6991752346484645e-05,22.0,6.0,31.0,59.0,False,,
139,Laurelton,Queens,21,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,22.75175115845477,5.973028169979673,0.0,26.0,30.0,3.0,59.0,False,,
39,Canarsie,Brooklyn,20,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,47.00308454369493,11.006454298041337,0.0,26.0,31.0,3.0,60.0,False,,
86,Far Rockaway,Queens,19,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,44.071141669392325,12.778997477655766,0.0,26.0,33.0,3.0,62.0,False,,
95,Forest Hills,Queens,19,passenger_reachable,101.98553634765801,0.0,50.894060217542,9.448857158166605,0.0,26.0,33.0,3.0,62.0,False,,
236,Upper East Side North,Manhattan,75,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.01168250390073,0.02614615624271721,73.05340871732639,12.841971866536783,-7.04901928969548e-05,18.0,7.0,38.0,63.0,False,,
10,Baisley Park,Queens,45,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.02795031434154,0.04241396668352593,23.310259870590304,6.44292178700095,-1.613245557052778e-05,16.0,18.0,29.0,63.0,False,,
79,East Village,Manhattan,50,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.06981798105812,0.08428163340010997,67.46767183253365,11.860061820341057,-0.06880861077223699,10.0,15.0,40.0,65.0,False,,
230,Times Sq/Theatre District,Manhattan,38,passenger_reachable,101.98553711345907,7.658010616751199e-07,73.81234973180005,12.975385205179803,-7.658010616751199e-07,25.0,22.0,19.0,66.0,False,,
253,Willets Point,Queens,35,dynamic_depth_1|dynamic_depth_2,102.14144071667512,0.15590436901710802,60.22697263141152,12.675381316213677,-2.084401585022988e-05,8.0,24.0,34.0,66.0,False,,
61,Crown Heights North,Brooklyn,16,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,56.7206146671667,11.888277389462768,0.0,26.0,39.0,3.0,68.0,False,,
63,Cypress Hills,Brooklyn,16,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553634765801,0.0,28.564365419199397,8.028941574415745,0.0,26.0,39.0,3.0,68.0,False,,
205,Saint Albans,Queens,25,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.00039467813396,0.014858330475945536,31.974986255797926,7.246334225626154,-1.0048657713923603e-05,19.0,27.0,23.0,69.0,False,,
215,South Jamaica,Queens,17,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.07864584177838,0.09310949412036962,26.93502130088759,6.3446869602722415,-1.0201098746165371e-05,9.0,36.0,24.0,69.0,False,,
122,Hollis,Queens,17,dynamic_depth_0|dynamic_depth_1|dynamic_depth_2,102.06560023453497,0.08006388687695676,40.9255183139984,8.844358916984179,-1.0387080465079634e-05,11.0,36.0,25.0,72.0,False,,
207,Saint Michaels Cemetery/Woodside,Queens,41,dynamic_depth_1|dynamic_depth_2,102.01169171354515,0.026155365887134963,81.96301238392147,15.717364734291124,-3.166862639147894e-05,17.0,20.0,36.0,73.0,False,,
163,Midtown North,Manhattan,20,dynamic_depth_1|dynamic_depth_2|passenger_reachable,101.98553770712914,1.3594711276709859e-06,73.35855173155545,12.895612594229075,-1.3594711276709859e-06,24.0,31.0,20.0,75.0,False,,
164,Midtown South,Manhattan,17,passenger_reachable,101.9855381225206,1.7748625822378017e-06,71.49375930300249,12.567802950231886,-1.7748625822378017e-06,23.0,36.0,21.0,80.0,False,,
262,Yorkville East,Manhattan,18,dynamic_depth_1|dynamic_depth_2|passenger_reachable,102.03803828824527,0.05250194058726265,69.6079860087744,12.236305104801438,-0.00023571231527341752,14.0,35.0,39.0,88.0,False,,
