coalition_mask,coalition_size,coalition_zone_ids,coalition_value,base_allowed_zone_ids
82,3,93|138|28,102.35701464389459,
83,4,186|93|138|28,102.92914034161568,
84,3,134|138|28,102.2934570522391,
85,4,186|134|138|28,102.86556664941673,
86,4,93|134|138|28,102.40037417761829,
87,5,186|93|134|138|28,102.9724977157926,
88,3,216|138|28,102.30583667945486,
89,4,186|216|138|28,102.87793840277902,
90,4,93|216|138|28,102.41083023620072,
91,5,186|93|216|138|28,102.98295593113654,
92,4,134|216|138|28,102.32612406303024,
93,5,186|134|216|138|28,102.89822587971629,
94,5,93|134|216|138|28,102.41168361434615,
95,6,186|93|134|216|138|28,102.98380715252044,
96,2,237|28,102.05765646199794,
97,3,186|237|28,102.62975434614997,
98,3,93|237|28,102.35230257750166,
99,4,186|93|237|28,102.92441831829744,
100,3,134|237|28,102.26518984152834,
101,4,186|134|237|28,102.83728770672127,
102,4,93|134|237|28,102.3956472957858,
103,5,186|93|134|237|28,102.96776303658159,
104,3,216|237|28,102.26037526417235,
105,4,186|216|237|28,102.83247277967246,
106,4,93|216|237|28,102.40611805133034,
107,5,186|93|216|237|28,102.97823379212612,
108,4,134|216|237|28,102.29853556896748,
109,5,186|134|216|237|28,102.87063315361848,
110,5,93|134|216|237|28,102.40696593267919,
111,6,186|93|134|216|237|28,102.979081673475,
112,3,138|237|28,102.12044803184394,
113,4,186|138|237|28,102.69254588103799,
114,4,93|138|237|28,102.3570483487802,
115,5,186|93|138|237|28,102.92916409098909,
116,4,134|138|237|28,102.29349263527503,
117,5,186|134|138|237|28,102.8655904851378,
118,5,93|134|138|237|28,102.40040714802124,
119,6,186|93|134|138|237|28,102.97252047671698,
120,4,216|138|237|28,102.30585200224232,
121,5,186|216|138|237|28,102.87794957089606,
122,5,93|216|138|237|28,102.41086371207622,
123,6,186|93|216|138|237|28,102.98297945428509,
124,5,134|216|138|237|28,102.32613706749176,
125,6,186|134|216|138|237|28,102.89823463681427,
126,6,93|134|216|138|237|28,102.41171639624912,
127,7,186|93|134|216|138|237|28,102.98382972494485,
128,1,219,101.98782373594494,
129,2,186|219,102.55995335087185,
130,2,93|219,102.34297159713017,
131,3,186|93|219,102.91509733306317,
132,2,134|219,102.26809554553309,
133,3,186|134|219,102.8402089878672,
134,3,93|134|219,102.39731959129469,
135,4,186|93|134|219,102.96944532722769,
136,2,216|219,102.26139782892176,
137,3,186|216|219,102.83350809091532,
138,3,93|216|219,102.40720224285839,
139,4,186|93|216|219,102.97932797879137,
140,3,134|216|219,102.29957647779379,
141,4,186|134|216|219,102.87168210828347,
142,4,93|134|216|219,102.40805176130544,
143,5,186|93|134|216|219,102.98017749723842,
144,2,138|219,102.06768073896944,
145,3,186|138|219,102.63979269835768,
146,3,93|138|219,102.34771776537319,
147,4,186|93|138|219,102.91984346309428,
148,3,134|138|219,102.29629430517775,
149,4,186|134|138|219,102.86840390235537,
150,4,93|134|138|219,102.4020850955069,
151,5,186|93|134|138|219,102.9742086336812,
152,3,216|138|219,102.30690864682553,
153,4,186|216|138|219,102.8790103701497,
154,4,93|216|138|219,102.41194829915155,
155,5,186|93|216|138|219,102.98407399687265,
156,4,134|216|138|219,102.32719519224113,
157,5,186|134|216|138|219,102.89929700892719,
158,5,93|134|216|138|219,102.41280348084132,
159,6,186|93|134|216|138|219,102.98492701901557,
160,2,237|219,101.98792429553032,
161,3,186|237|219,102.56002218167374,
162,3,93|237|219,102.34300616555974,
163,4,186|93|237|219,102.91512190635554,
164,3,134|237|219,102.26814849218181,
165,4,186|134|237|219,102.84024635737475,
166,4,93|134|237|219,102.397353817592,
167,5,186|93|134|237|219,102.96946955838779,
168,3,216|237|219,102.26144696311555,
169,4,186|216|237|219,102.83354447861566,
170,4,93|216|237|219,102.40723628066173,
171,5,186|93|216|237|219,102.97935202145753,
172,4,134|216|237|219,102.29960669819442,
173,5,186|134|216|237|219,102.8717042828454,
174,5,93|134|216|237|219,102.40808579910879,
175,6,186|93|134|216|237|219,102.98020153990457,
176,3,138|237|219,102.06772779330002,
177,4,186|138|237|219,102.63982564249407,
178,4,93|138|237|219,102.34775193825547,
179,5,186|93|138|237|219,102.91986768046435,
180,4,134|138|237|219,102.29632988821366,
181,5,186|134|138|237|219,102.86842773807646,
182,5,93|134|138|237|219,102.40211806590987,
183,6,186|93|134|138|237|219,102.97423139460562,
184,4,216|138|237|219,102.30692396961301,
185,5,186|216|138|237|219,102.87902153826674,
186,5,93|216|138|237|219,102.41198194140762,
187,6,186|93|216|138|237|219,102.9840976836165,
188,5,134|216|138|237|219,102.32720819670264,
189,6,186|134|216|138|237|219,102.89930576602512,
190,6,93|134|216|138|237|219,102.41283626274426,
191,7,186|93|134|216|138|237|219,102.98494959144001,
192,2,28|219,102.0597182609755,
193,3,186|28|219,102.6318568225944,
194,3,93|28|219,102.35403313396858,
195,4,186|93|28|219,102.9261588699016,
196,3,134|28|219,102.26809554553309,
197,4,186|134|28|219,102.8402089878672,
198,4,93|134|28|219,102.39731959129469,
199,5,186|93|134|28|219,102.96944532722769,
200,3,216|28|219,102.26139782892176,
201,4,186|216|28|219,102.83350809091532,
202,4,93|216|28|219,102.40720224285839,
203,5,186|93|216|28|219,102.97932797879137,
204,4,134|216|28|219,102.29957647779379,
205,5,186|134|216|28|219,102.87168210828347,
206,5,93|134|216|28|219,102.40805176130544,
207,6,186|93|134|216|28|219,102.98017749723842,
208,3,138|28|219,102.12251000125013,
209,4,186|138|28|219,102.69462460597587,
210,4,93|138|28|219,102.35877930079442,
211,5,186|93|138|28|219,102.93090499851552,
212,4,134|138|28|219,102.29629430517775,
213,5,186|134|138|28|219,102.86840390235537,
214,5,93|134|138|28|219,102.4020850955069,
215,6,186|93|134|138|28|219,102.9742086336812,
216,4,216|138|28|219,102.30690864682553,
217,5,186|216|138|28|219,102.8790103701497,
218,5,93|216|138|28|219,102.41194829915155,
219,6,186|93|216|138|28|219,102.98407399687265,
220,5,134|216|138|28|219,102.32719519224113,
221,6,186|134|216|138|28|219,102.89929700892719,
222,6,93|134|216|138|28|219,102.41280348084132,
223,7,186|93|134|216|138|28|219,102.98492701901557,
224,3,237|28|219,102.05986889164173,
225,4,186|237|28|219,102.63196677579376,
226,4,93|237|28|219,102.35406723440147,
227,5,186|93|237|28|219,102.92618297519726,
228,4,134|237|28|219,102.26814849218181,
229,5,186|134|237|28|219,102.84024635737475,
230,5,93|134|237|28|219,102.397353817592,
231,6,186|93|134|237|28|219,102.96946955838779,
232,4,216|237|28|219,102.26144696311555,
233,5,186|216|237|28|219,102.83354447861566,
234,5,93|216|237|28|219,102.40723628066173,
235,6,186|93|216|237|28|219,102.97935202145753,
236,5,134|216|237|28|219,102.29960669819442,
237,6,186|134|216|237|28|219,102.8717042828454,
238,6,93|134|216|237|28|219,102.40808579910879,
239,7,186|93|134|216|237|28|219,102.98020153990457,
240,4,138|237|28|219,102.12258429082948,
241,5,186|138|237|28|219,102.6946821400235,
242,5,93|138|237|28|219,102.35881300568003,
243,6,186|93|138|237|28|219,102.93092874788891,
244,5,134|138|237|28|219,102.29632988821366,
245,6,186|134|138|237|28|219,102.86842773807646,
246,6,93|134|138|237|28|219,102.40211806590987,
247,7,186|93|134|138|237|28|219,102.97423139460562,
248,5,216|138|237|28|219,102.30692396961301,
249,6,186|216|138|237|28|219,102.87902153826674,
250,6,93|216|138|237|28|219,102.41198194140762,
251,7,186|93|216|138|237|28|219,102.9840976836165,
252,6,134|216|138|237|28|219,102.32720819670264,
253,7,186|134|216|138|237|28|219,102.89930576602512,
254,7,93|134|216|138|237|28|219,102.41283626274426,
255,8,186|93|134|216|138|237|28|219,102.98494959144001,
256,1,130,101.98553634765801,
257,2,186|130,102.55766596258488,
258,2,93|130,102.34118811690489,
259,3,186|93|130,102.91331385283787,
260,2,134|130,102.2651368948796,
261,3,186|134|130,102.83725033721372,
262,3,93|134|130,102.39561306948849,
263,4,186|93|134|130,102.96773880542148,
264,2,216|130,102.26032612997857,
265,3,186|216|130,102.83243639197211,
266,3,93|216|130,102.40608417990755,
267,4,186|93|216|130,102.9782099130553,
268,3,134|216|130,102.29850534856688,
269,4,186|134|216|130,102.87061097905652,
270,4,93|134|216|130,102.40693189487584,
271,5,186|93|134|216|130,102.97905763080884,
272,2,138|130,102.06552345760568,
273,3,186|138|130,102.63763541699396,
274,3,93|138|130,102.34593428514789,
275,4,186|93|138|130,102.918059982869,
276,3,134|138|130,102.2934570522391,
277,4,186|134|138|130,102.86556664941673,
278,4,93|134|138|130,102.40037417761829,
279,5,186|93|134|138|130,102.9724977157926,
280,3,216|138|130,102.30583667945486,
281,4,186|216|138|130,102.87793840277902,
282,4,93|216|138|130,102.41083023620072,
283,5,186|93|216|138|130,102.98295593113654,
284,4,134|216|138|130,102.32612406303024,
285,5,186|134|216|138|130,102.89822587971629,
286,5,93|134|216|138|130,102.41168361434615,
287,6,186|93|134|216|138|130,102.98380715252044,
288,2,237|130,101.98563690724333,
289,3,186|237|130,102.55773479338677,
290,3,93|237|130,102.34122268533447,
291,4,186|93|237|130,102.91333842613025,
292,3,134|237|130,102.26518984152834,
293,4,186|134|237|130,102.83728770672127,
294,4,93|134|237|130,102.3956472957858,
295,5,186|93|134|237|130,102.96776303658159,
296,3,216|237|130,102.26037526417235,
297,4,186|216|237|130,102.83247277967246,
298,4,93|216|237|130,102.40611805133034,
299,5,186|93|216|237|130,102.97823379212612,
300,4,134|216|237|130,102.29853556896748,
301,5,186|134|216|237|130,102.87063315361848,
302,5,93|134|216|237|130,102.40696593267919,
303,6,186|93|134|216|237|130,102.979081673475,
304,3,138|237|130,102.06557051193627,
305,4,186|138|237|130,102.63766836113032,
306,4,93|138|237|130,102.34596845803019,
307,5,186|93|138|237|130,102.91808420023908,
308,4,134|138|237|130,102.29349263527503,
309,5,186|134|138|237|130,102.8655904851378,
310,5,93|134|138|237|130,102.40040714802124,
311,6,186|93|134|138|237|130,102.97252047671698,
312,4,216|138|237|130,102.30585200224232,
313,5,186|216|138|237|130,102.87794957089606,
314,5,93|216|138|237|130,102.41086371207622,
315,6,186|93|216|138|237|130,102.98297945428509,
316,5,134|216|138|237|130,102.32613706749176,
317,6,186|134|216|138|237|130,102.89823463681427,
318,6,93|134|216|138|237|130,102.41171639624912,
319,7,186|93|134|216|138|237|130,102.98382972494485,
320,2,28|130,102.05750583133171,
321,3,186|28|130,102.62964439295058,
322,3,93|28|130,102.35226847706878,
323,4,186|93|28|130,102.92439421300178,
324,3,134|28|130,102.2651368948796,
325,4,186|134|28|130,102.83725033721372,
326,4,93|134|28|130,102.39561306948849,
327,5,186|93|134|28|130,102.96773880542148,
328,3,216|28|130,102.26032612997857,
329,4,186|216|28|130,102.83243639197211,
330,4,93|216|28|130,102.40608417990755,
331,5,186|93|216|28|130,102.9782099130553,
332,4,134|216|28|130,102.29850534856688,
333,5,186|134|216|28|130,102.87061097905652,
334,5,93|134|216|28|130,102.40693189487584,
335,6,186|93|134|216|28|130,102.97905763080884,
336,3,138|28|130,102.12037374226459,
337,4,186|138|28|130,102.69248834699033,
338,4,93|138|28|130,102.35701464389459,
339,5,186|93|138|28|130,102.92914034161568,
340,4,134|138|28|130,102.2934570522391,
341,5,186|134|138|28|130,102.86556664941673,
342,5,93|134|138|28|130,102.40037417761829,
343,6,186|93|134|138|28|130,102.9724977157926,
344,4,216|138|28|130,102.30583667945486,
345,5,186|216|138|28|130,102.87793840277902,
346,5,93|216|138|28|130,102.41083023620072,
347,6,186|93|216|138|28|130,102.98295593113654,
348,5,134|216|138|28|130,102.32612406303024,
349,6,186|134|216|138|28|130,102.89822587971629,
350,6,93|134|216|138|28|130,102.41168361434615,
351,7,186|93|134|216|138|28|130,102.98380715252044,
352,3,237|28|130,102.05765646199794,
353,4,186|237|28|130,102.62975434614997,
354,4,93|237|28|130,102.35230257750166,
355,5,186|93|237|28|130,102.92441831829744,
356,4,134|237|28|130,102.26518984152834,
357,5,186|134|237|28|130,102.83728770672127,
358,5,93|134|237|28|130,102.3956472957858,
359,6,186|93|134|237|28|130,102.96776303658159,
360,4,216|237|28|130,102.26037526417235,
361,5,186|216|237|28|130,102.83247277967246,
362,5,93|216|237|28|130,102.40611805133034,
363,6,186|93|216|237|28|130,102.97823379212612,
364,5,134|216|237|28|130,102.29853556896748,
365,6,186|134|216|237|28|130,102.87063315361848,
366,6,93|134|216|237|28|130,102.40696593267919,
367,7,186|93|134|216|237|28|130,102.979081673475,
368,4,138|237|28|130,102.12044803184394,
369,5,186|138|237|28|130,102.69254588103799,
370,5,93|138|237|28|130,102.3570483487802,
371,6,186|93|138|237|28|130,102.92916409098909,
372,5,134|138|237|28|130,102.29349263527503,
373,6,186|134|138|237|28|130,102.8655904851378,
374,6,93|134|138|237|28|130,102.40040714802124,
375,7,186|93|134|138|237|28|130,102.97252047671698,
376,5,216|138|237|28|130,102.30585200224232,
377,6,186|216|138|237|28|130,102.87794957089606,
378,6,93|216|138|237|28|130,102.41086371207622,
379,7,186|93|216|138|237|28|130,102.98297945428509,
380,6,134|216|138|237|28|130,102.32613706749176,
381,7,186|134|216|138|237|28|130,102.89823463681427,
382,7,93|134|216|138|237|28|130,102.41171639624912,
383,8,186|93|134|216|138|237|28|130,102.98382972494485,
384,2,219|130,101.98782373594494,
385,3,186|219|130,102.55995335087185,
386,3,93|219|130,102.34297159713017,
387,4,186|93|219|130,102.91509733306317,
388,3,134|219|130,102.26809554553309,
389,4,186|134|219|130,102.8402089878672,
390,4,93|134|219|130,102.39731959129469,
391,5,186|93|134|219|130,102.96944532722769,
392,3,216|219|130,102.26139782892176,
393,4,186|216|219|130,102.83350809091532,
394,4,93|216|219|130,102.40720224285839,
395,5,186|93|216|219|130,102.97932797879137,
396,4,134|216|219|130,102.29957647779379,
397,5,186|134|216|219|130,102.87168210828347,
398,5,93|134|216|219|130,102.40805176130544,
399,6,186|93|134|216|219|130,102.98017749723842,
400,3,138|219|130,102.06768073896944,
401,4,186|138|219|130,102.63979269835768,
402,4,93|138|219|130,102.34771776537319,
403,5,186|93|138|219|130,102.91984346309428,
404,4,134|138|219|130,102.29629430517775,
405,5,186|134|138|219|130,102.86840390235537,
406,5,93|134|138|219|130,102.4020850955069,
407,6,186|93|134|138|219|130,102.9742086336812,
408,4,216|138|219|130,102.30690864682553,
409,5,186|216|138|219|130,102.8790103701497,
410,5,93|216|138|219|130,102.41194829915155,
411,6,186|93|216|138|219|130,102.98407399687265,
412,5,134|216|138|219|130,102.32719519224113,
413,6,186|134|216|138|219|130,102.89929700892719,
414,6,93|134|216|138|219|130,102.41280348084132,
415,7,186|93|134|216|138|219|130,102.98492701901557,
416,3,237|219|130,101.98792429553032,
417,4,186|237|219|130,102.56002218167374,
418,4,93|237|219|130,102.34300616555974,
419,5,186|93|237|219|130,102.91512190635554,
420,4,134|237|219|130,102.26814849218181,
421,5,186|134|237|219|130,102.84024635737475,
422,5,93|134|237|219|130,102.397353817592,
423,6,186|93|134|237|219|130,102.96946955838779,
424,4,216|237|219|130,102.26144696311555,
425,5,186|216|237|219|130,102.83354447861566,
426,5,93|216|237|219|130,102.40723628066173,
427,6,186|93|216|237|219|130,102.97935202145753,
428,5,134|216|237|219|130,102.29960669819442,
429,6,186|134|216|237|219|130,102.8717042828454,
430,6,93|134|216|237|219|130,102.40808579910879,
431,7,186|93|134|216|237|219|130,102.98020153990457,
432,4,138|237|219|130,102.06772779330002,
433,5,186|138|237|219|130,102.63982564249407,
434,5,93|138|237|219|130,102.34775193825547,
435,6,186|93|138|237|219|130,102.91986768046435,
436,5,134|138|237|219|130,102.29632988821366,
437,6,186|134|138|237|219|130,102.86842773807646,
438,6,93|134|138|237|219|130,102.40211806590987,
439,7,186|93|134|138|237|219|130,102.97423139460562,
440,5,216|138|237|219|130,102.30692396961301,
441,6,186|216|138|237|219|130,102.87902153826674,
442,6,93|216|138|237|219|130,102.41198194140762,
443,7,186|93|216|138|237|219|130,102.9840976836165,
444,6,134|216|138|237|219|130,102.32720819670264,
445,7,186|134|216|138|237|219|130,102.89930576602512,
446,7,93|134|216|138|237|219|130,102.41283626274426,
447,8,186|93|134|216|138|237|219|130,102.98494959144001,
448,3,28|219|130,102.0597182609755,
449,4,186|28|219|130,102.6318568225944,
450,4,93|28|219|130,102.35403313396858,
451,5,186|93|28|219|130,102.9261588699016,
452,4,134|28|219|130,102.26809554553309,
453,5,186|134|28|219|130,102.8402089878672,
454,5,93|134|28|219|130,102.39731959129469,
455,6,186|93|134|28|219|130,102.96944532722769,
456,4,216|28|219|130,102.26139782892176,
457,5,186|216|28|219|130,102.83350809091532,
458,5,93|216|28|219|130,102.40720224285839,
459,6,186|93|216|28|219|130,102.97932797879137,
460,5,134|216|28|219|130,102.29957647779379,
461,6,186|134|216|28|219|130,102.87168210828347,
462,6,93|134|216|28|219|130,102.40805176130544,
463,7,186|93|134|216|28|219|130,102.98017749723842,
464,4,138|28|219|130,102.12251000125013,
465,5,186|138|28|219|130,102.69462460597587,
466,5,93|138|28|219|130,102.35877930079442,
467,6,186|93|138|28|219|130,102.93090499851552,
468,5,134|138|28|219|130,102.29629430517775,
469,6,186|134|138|28|219|130,102.86840390235537,
470,6,93|134|138|28|219|130,102.4020850955069,
471,7,186|93|134|138|28|219|130,102.9742086336812,
472,5,216|138|28|219|130,102.30690864682553,
473,6,186|216|138|28|219|130,102.8790103701497,
474,6,93|216|138|28|219|130,102.41194829915155,
475,7,186|93|216|138|28|219|130,102.98407399687265,
476,6,134|216|138|28|219|130,102.32719519224113,
477,7,186|134|216|138|28|219|130,102.89929700892719,
478,7,93|134|216|138|28|219|130,102.41280348084132,
479,8,186|93|134|216|138|28|219|130,102.98492701901557,
480,4,237|28|219|130,102.05986889164173,
481,5,186|237|28|219|130,102.63196677579376,
482,5,93|237|28|219|130,102.35406723440147,
483,6,186|93|237|28|219|130,102.92618297519726,
484,5,134|237|28|219|130,102.26814849218181,
485,6,186|134|237|28|219|130,102.84024635737475,
486,6,93|134|237|28|219|130,102.397353817592,
487,7,186|93|134|237|28|219|130,102.96946955838779,
488,5,216|237|28|219|130,102.26144696311555,
489,6,186|216|237|28|219|130,102.83354447861566,
490,6,93|216|237|28|219|130,102.40723628066173,
491,7,186|93|216|237|28|219|130,102.97935202145753,
492,6,134|216|237|28|219|130,102.29960669819442,
493,7,186|134|216|237|28|219|130,102.8717042828454,
494,7,93|134|216|237|28|219|130,102.40808579910879,
495,8,186|93|134|216|237|28|219|130,102.98020153990457,
496,5,138|237|28|219|130,102.12258429082948,
497,6,186|138|237|28|219|130,102.6946821400235,
498,6,93|138|237|28|219|130,102.35881300568003,
499,7,186|93|138|237|28|219|130,102.93092874788891,
500,6,134|138|237|28|219|130,102.29632988821366,
501,7,186|134|138|237|28|219|130,102.86842773807646,
502,7,93|134|138|237|28|219|130,102.40211806590987,
503,8,186|93|134|138|237|28|219|130,102.97423139460562,
504,6,216|138|237|28|219|130,102.30692396961301,
505,7,186|216|138|237|28|219|130,102.87902153826674,
506,7,93|216|138|237|28|219|130,102.41198194140762,
507,8,186|93|216|138|237|28|219|130,102.9840976836165,
508,7,134|216|138|237|28|219|130,102.32720819670264,
509,8,186|134|216|138|237|28|219|130,102.89930576602512,
510,8,93|134|216|138|237|28|219|130,102.41283626274426,
511,9,186|93|134|216|138|237|28|219|130,102.98494959144001,
512,1,161,101.98553634765801,
513,2,186|161,102.55766596258488,
514,2,93|161,102.34118811690489,
515,3,186|93|161,102.91331385283787,
516,2,134|161,102.2651368948796,
517,3,186|134|161,102.83725033721372,
518,3,93|134|161,102.39561306948849,
519,4,186|93|134|161,102.96773880542148,
520,2,216|161,102.26032612997857,
521,3,186|216|161,102.83243639197211,
522,3,93|216|161,102.40608417990755,
523,4,186|93|216|161,102.9782099130553,
524,3,134|216|161,102.29850534856688,
525,4,186|134|216|161,102.87061097905652,
526,4,93|134|216|161,102.40693189487584,
527,5,186|93|134|216|161,102.97905763080884,
528,2,138|161,102.06552345760568,
529,3,186|138|161,102.63763541699396,
530,3,93|138|161,102.34593428514789,
531,4,186|93|138|161,102.918059982869,
532,3,134|138|161,102.2934570522391,
533,4,186|134|138|161,102.86556664941673,
534,4,93|134|138|161,102.40037417761829,
535,5,186|93|134|138|161,102.9724977157926,
536,3,216|138|161,102.30583667945486,
537,4,186|216|138|161,102.87793840277902,
538,4,93|216|138|161,102.41083023620072,
539,5,186|93|216|138|161,102.98295593113654,
540,4,134|216|138|161,102.32612406303024,
541,5,186|134|216|138|161,102.89822587971629,
542,5,93|134|216|138|161,102.41168361434615,
543,6,186|93|134|216|138|161,102.98380715252044,
544,2,237|161,101.98563690724333,
545,3,186|237|161,102.55773479338677,
546,3,93|237|161,102.34122268533447,
547,4,186|93|237|161,102.91333842613025,
548,3,134|237|161,102.26518984152834,
549,4,186|134|237|161,102.83728770672127,
550,4,93|134|237|161,102.3956472957858,
551,5,186|93|134|237|161,102.96776303658159,
552,3,216|237|161,102.26037526417235,
553,4,186|216|237|161,102.83247277967246,
554,4,93|216|237|161,102.40611805133034,
555,5,186|93|216|237|161,102.97823379212612,
556,4,134|216|237|161,102.29853556896748,
557,5,186|134|216|237|161,102.87063315361848,
558,5,93|134|216|237|161,102.40696593267919,
559,6,186|93|134|216|237|161,102.979081673475,
560,3,138|237|161,102.06557051193627,
561,4,186|138|237|161,102.63766836113032,
562,4,93|138|237|161,102.34596845803019,
563,5,186|93|138|237|161,102.91808420023908,
564,4,134|138|237|161,102.29349263527503,
565,5,186|134|138|237|161,102.8655904851378,
566,5,93|134|138|237|161,102.40040714802124,
567,6,186|93|134|138|237|161,102.97252047671698,
568,4,216|138|237|161,102.30585200224232,
569,5,186|216|138|237|161,102.87794957089606,
570,5,93|216|138|237|161,102.41086371207622,
571,6,186|93|216|138|237|161,102.98297945428509,
572,5,134|216|138|237|161,102.32613706749176,
573,6,186|134|216|138|237|161,102.89823463681427,
574,6,93|134|216|138|237|161,102.41171639624912,
575,7,186|93|134|216|138|237|161,102.98382972494485,
576,2,28|161,102.05750583133171,
577,3,186|28|161,102.62964439295058,
578,3,93|28|161,102.35226847706878,
579,4,186|93|28|161,102.92439421300178,
580,3,134|28|161,102.2651368948796,
581,4,186|134|28|161,102.83725033721372,
582,4,93|134|28|161,102.39561306948849,
583,5,186|93|134|28|161,102.96773880542148,
584,3,216|28|161,102.26032612997857,
585,4,186|216|28|161,102.83243639197211,
586,4,93|216|28|161,102.40608417990755,
587,5,186|93|216|28|161,102.9782099130553,
588,4,134|216|28|161,102.29850534856688,
589,5,186|134|216|28|161,102.87061097905652,
590,5,93|134|216|28|161,102.40693189487584,
591,6,186|93|134|216|28|161,102.97905763080884,
592,3,138|28|161,102.12037374226459,
593,4,186|138|28|161,102.69248834699033,
594,4,93|138|28|161,102.35701464389459,
595,5,186|93|138|28|161,102.92914034161568,
596,4,134|138|28|161,102.2934570522391,
597,5,186|134|138|28|161,102.86556664941673,
598,5,93|134|138|28|161,102.40037417761829,
599,6,186|93|134|138|28|161,102.9724977157926,
600,4,216|138|28|161,102.30583667945486,
601,5,186|216|138|28|161,102.87793840277902,
602,5,93|216|138|28|161,102.41083023620072,
603,6,186|93|216|138|28|161,102.98295593113654,
604,5,134|216|138|28|161,102.32612406303024,
605,6,186|134|216|138|28|161,102.89822587971629,
606,6,93|134|216|138|28|161,102.41168361434615,
607,7,186|93|134|216|138|28|161,102.98380715252044,
608,3,237|28|161,102.05765646199794,
609,4,186|237|28|161,102.62975434614997,
610,4,93|237|28|161,102.35230257750166,
611,5,186|93|237|28|161,102.92441831829744,
612,4,134|237|28|161,102.26518984152834,
613,5,186|134|237|28|161,102.83728770672127,
614,5,93|134|237|28|161,102.3956472957858,
615,6,186|93|134|237|28|161,102.96776303658159,
616,4,216|237|28|161,102.26037526417235,
617,5,186|216|237|28|161,102.83247277967246,
618,5,93|216|237|28|161,102.40611805133034,
619,6,186|93|216|237|28|161,102.97823379212612,
620,5,134|216|237|28|161,102.29853556896748,
621,6,186|134|216|237|28|161,102.87063315361848,
622,6,93|134|216|237|28|161,102.40696593267919,
623,7,186|93|134|216|237|28|161,102.979081673475,
624,4,138|237|28|161,102.12044803184394,
625,5,186|138|237|28|161,102.69254588103799,
626,5,93|138|237|28|161,102.3570483487802,
627,6,186|93|138|237|28|161,102.92916409098909,
628,5,134|138|237|28|161,102.29349263527503,
629,6,186|134|138|237|28|161,102.8655904851378,
630,6,93|134|138|237|28|161,102.40040714802124,
631,7,186|93|134|138|237|28|161,102.97252047671698,
632,5,216|138|237|28|161,102.30585200224232,
633,6,186|216|138|237|28|161,102.87794957089606,
