zone_id,elapsed_minutes,clock_minutes,wait_only,highest_demand,highest_income,greedy_net_earnings,finite_horizon_value_iteration,q_learning,dqn
72,0,480.0,WAIT,186,257,WAIT,WAIT,WAIT,WAIT
73,0,480.0,WAIT,262,93,93,93,93,WAIT
74,0,480.0,WAIT,239,93,199,8,199,WAIT
75,0,480.0,WAIT,186,93,8,8,8,WAIT
76,0,480.0,WAIT,79,132,132,132,132,132
77,0,480.0,WAIT,186,132,132,132,132,WAIT
78,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
79,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
80,0,480.0,WAIT,186,138,WAIT,207,WAIT,WAIT
81,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
82,0,480.0,WAIT,186,93,93,WAIT,93,WAIT
83,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
84,0,480.0,WAIT,187,110,WAIT,204,WAIT,WAIT
85,0,480.0,WAIT,186,111,WAIT,WAIT,WAIT,WAIT
86,0,480.0,WAIT,132,132,WAIT,WAIT,WAIT,WAIT
87,0,480.0,WAIT,186,105,195,195,195,WAIT
88,0,480.0,WAIT,186,105,195,195,195,87
89,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,WAIT
90,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,234
91,0,480.0,WAIT,79,257,WAIT,WAIT,WAIT,155
92,0,480.0,WAIT,236,93,93,93,93,WAIT
93,0,480.0,WAIT,79,132,WAIT,WAIT,WAIT,138
94,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
95,0,480.0,WAIT,186,132,93,93,93,WAIT
96,0,480.0,WAIT,186,132,WAIT,132,WAIT,132
97,0,480.0,WAIT,186,206,WAIT,232,WAIT,WAIT
98,0,480.0,WAIT,138,93,93,93,93,192
99,0,480.0,WAIT,245,110,WAIT,WAIT,WAIT,WAIT
100,0,480.0,WAIT,186,93,207,207,207,WAIT
101,0,480.0,WAIT,64,93,WAIT,WAIT,WAIT,WAIT
102,0,480.0,WAIT,186,132,WAIT,132,WAIT,WAIT
103,0,480.0,WAIT,186,1,WAIT,195,WAIT,195
104,0,480.0,WAIT,186,1,WAIT,195,WAIT,195
105,0,480.0,WAIT,186,WAIT,195,195,195,WAIT
106,0,480.0,WAIT,186,105,195,195,195,WAIT
107,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
108,0,480.0,WAIT,89,206,WAIT,WAIT,WAIT,WAIT
109,0,480.0,WAIT,187,110,WAIT,110,WAIT,WAIT
110,0,480.0,WAIT,206,WAIT,WAIT,WAIT,WAIT,176
111,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,228
112,0,480.0,WAIT,186,138,226,226,226,WAIT
113,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,114
114,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,211
115,0,480.0,WAIT,187,1,WAIT,204,WAIT,WAIT
116,0,480.0,WAIT,262,138,WAIT,WAIT,WAIT,WAIT
117,0,480.0,WAIT,2,2,WAIT,WAIT,WAIT,WAIT
118,0,480.0,WAIT,187,1,WAIT,204,WAIT,WAIT
119,0,480.0,WAIT,138,138,199,199,199,WAIT
120,0,480.0,WAIT,236,138,199,WAIT,199,WAIT
121,0,480.0,WAIT,132,132,93,93,93,28
122,0,480.0,WAIT,132,132,WAIT,WAIT,WAIT,WAIT
123,0,480.0,WAIT,89,206,WAIT,WAIT,WAIT,WAIT
124,0,480.0,WAIT,132,132,132,132,132,132
125,0,480.0,WAIT,186,138,249,195,249,WAIT
126,0,480.0,WAIT,138,93,199,199,199,WAIT
127,0,480.0,WAIT,151,138,199,128,199,243
128,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,127
129,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,138
130,0,480.0,WAIT,132,132,132,132,132,WAIT
131,0,480.0,WAIT,132,132,93,WAIT,93,28
132,0,480.0,WAIT,WAIT,WAIT,WAIT,WAIT,WAIT,WAIT
133,0,480.0,WAIT,186,195,WAIT,WAIT,WAIT,26
134,0,480.0,WAIT,262,132,93,WAIT,93,WAIT
135,0,480.0,WAIT,262,132,93,93,93,28
136,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
137,0,480.0,WAIT,186,93,207,207,207,WAIT
138,0,480.0,WAIT,186,93,199,93,199,WAIT
139,0,480.0,WAIT,132,132,132,132,132,219
140,0,480.0,WAIT,186,93,207,207,207,262
141,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
142,0,480.0,WAIT,186,93,WAIT,207,WAIT,WAIT
143,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
144,0,480.0,WAIT,186,138,WAIT,195,WAIT,WAIT
145,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
146,0,480.0,WAIT,186,93,WAIT,226,WAIT,226
147,0,480.0,WAIT,138,93,199,199,199,WAIT
148,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
149,0,480.0,WAIT,89,257,154,154,154,WAIT
150,0,480.0,WAIT,89,55,154,154,154,29
151,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
152,0,480.0,WAIT,239,138,199,207,199,WAIT
153,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,220
154,0,480.0,WAIT,89,55,WAIT,WAIT,WAIT,155
155,0,480.0,WAIT,39,154,WAIT,154,WAIT,WAIT
156,0,480.0,WAIT,44,1,WAIT,WAIT,WAIT,WAIT
157,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
158,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
159,0,480.0,WAIT,138,93,199,207,199,WAIT
160,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
161,0,480.0,WAIT,186,93,207,207,207,138
162,0,480.0,WAIT,186,93,207,207,207,WAIT
163,0,480.0,WAIT,186,93,207,207,WAIT,WAIT
164,0,480.0,WAIT,186,93,207,207,207,WAIT
165,0,480.0,WAIT,79,206,WAIT,WAIT,WAIT,WAIT
166,0,480.0,WAIT,239,138,199,207,199,WAIT
167,0,480.0,WAIT,138,93,199,199,199,147
168,0,480.0,WAIT,236,93,199,8,199,WAIT
169,0,480.0,WAIT,138,138,199,WAIT,199,WAIT
170,0,480.0,WAIT,186,93,207,207,207,WAIT
171,0,480.0,WAIT,236,93,93,93,93,WAIT
172,0,480.0,WAIT,187,110,WAIT,176,WAIT,WAIT
173,0,480.0,WAIT,186,93,93,93,93,138
174,0,480.0,WAIT,138,138,199,240,199,WAIT
175,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,WAIT
176,0,480.0,WAIT,187,110,WAIT,110,WAIT,WAIT
177,0,480.0,WAIT,186,132,WAIT,132,WAIT,WAIT
178,0,480.0,WAIT,79,206,WAIT,WAIT,WAIT,165
179,0,480.0,WAIT,186,93,WAIT,8,WAIT,138
180,0,480.0,WAIT,132,132,132,132,132,132
181,0,480.0,WAIT,186,206,195,106,195,WAIT
182,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
183,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,WAIT
184,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,208
185,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
186,0,480.0,WAIT,WAIT,138,WAIT,WAIT,WAIT,WAIT
187,0,480.0,WAIT,44,1,WAIT,WAIT,WAIT,WAIT
188,0,480.0,WAIT,186,111,WAIT,WAIT,WAIT,WAIT
189,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,WAIT
190,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,189
191,0,480.0,WAIT,138,93,WAIT,WAIT,WAIT,122
192,0,480.0,WAIT,236,132,93,93,93,WAIT
193,0,480.0,WAIT,186,93,207,207,207,WAIT
194,0,480.0,WAIT,262,93,8,WAIT,8,WAIT
195,0,480.0,WAIT,186,105,WAIT,WAIT,WAIT,WAIT
196,0,480.0,WAIT,186,93,93,93,93,WAIT
197,0,480.0,WAIT,132,132,WAIT,WAIT,WAIT,132
198,0,480.0,WAIT,186,132,132,132,132,WAIT
199,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,138
200,0,480.0,WAIT,199,199,WAIT,WAIT,WAIT,WAIT
201,0,480.0,WAIT,2,2,WAIT,WAIT,WAIT,WAIT
202,0,480.0,WAIT,186,93,8,8,8,226
203,0,480.0,WAIT,132,132,132,132,132,219
204,0,480.0,WAIT,187,110,WAIT,WAIT,WAIT,WAIT
205,0,480.0,WAIT,132,132,132,WAIT,132,10
206,0,480.0,WAIT,231,1,WAIT,WAIT,WAIT,WAIT
207,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,138
208,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
209,0,480.0,WAIT,186,105,195,195,195,33
210,0,480.0,WAIT,89,55,WAIT,154,WAIT,WAIT
211,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
212,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
213,0,480.0,WAIT,138,93,199,199,199,WAIT
214,0,480.0,WAIT,44,110,WAIT,204,WAIT,6
215,0,480.0,WAIT,132,132,132,132,132,132
216,0,480.0,WAIT,132,132,132,132,132,132
217,0,480.0,WAIT,186,226,WAIT,79,WAIT,256
218,0,480.0,WAIT,132,132,132,219,132,132
219,0,480.0,WAIT,132,132,132,132,132,132
220,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
221,0,480.0,WAIT,231,1,WAIT,204,WAIT,WAIT
222,0,480.0,WAIT,79,132,132,132,132,WAIT
223,0,480.0,WAIT,186,93,8,8,8,138
224,0,480.0,WAIT,186,93,WAIT,207,WAIT,WAIT
225,0,480.0,WAIT,186,226,WAIT,WAIT,WAIT,WAIT
226,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
227,0,480.0,WAIT,186,206,111,111,111,228
228,0,480.0,WAIT,186,105,111,195,111,WAIT
229,0,480.0,WAIT,186,93,WAIT,207,WAIT,WAIT
230,0,480.0,WAIT,186,93,207,207,WAIT,WAIT
231,0,480.0,WAIT,186,206,195,195,195,13
232,0,480.0,WAIT,186,93,195,195,195,WAIT
233,0,480.0,WAIT,186,93,207,207,207,WAIT
234,0,480.0,WAIT,186,93,207,207,207,WAIT
235,0,480.0,WAIT,138,138,199,WAIT,199,119
236,0,480.0,WAIT,WAIT,93,WAIT,8,WAIT,8
237,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
238,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
239,0,480.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
240,0,480.0,WAIT,199,199,WAIT,WAIT,WAIT,174
241,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,174
242,0,480.0,WAIT,138,93,199,184,199,WAIT
243,0,480.0,WAIT,238,138,199,WAIT,199,WAIT
244,0,480.0,WAIT,236,138,199,199,199,WAIT
245,0,480.0,WAIT,13,1,WAIT,WAIT,WAIT,WAIT
246,0,480.0,WAIT,186,138,207,207,207,68
247,0,480.0,WAIT,138,93,199,207,199,119
248,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
249,0,480.0,WAIT,186,138,WAIT,WAIT,WAIT,90
250,0,480.0,WAIT,138,93,199,WAIT,199,WAIT
251,0,480.0,WAIT,44,1,WAIT,WAIT,WAIT,WAIT
252,0,480.0,WAIT,236,93,93,93,93,WAIT
253,0,480.0,WAIT,262,132,WAIT,93,WAIT,138
254,0,480.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
255,0,480.0,WAIT,186,145,79,226,79,WAIT
256,0,480.0,WAIT,186,207,WAIT,WAIT,WAIT,232
257,0,480.0,WAIT,186,206,WAIT,WAIT,WAIT,WAIT
258,0,480.0,WAIT,79,132,132,WAIT,132,132
259,0,480.0,WAIT,184,199,WAIT,WAIT,WAIT,WAIT
260,0,480.0,WAIT,186,93,207,WAIT,207,226
261,0,480.0,WAIT,186,105,195,195,195,WAIT
262,0,480.0,WAIT,186,93,WAIT,8,WAIT,WAIT
263,0,480.0,WAIT,186,93,WAIT,8,WAIT,262
1,15,495.0,WAIT,23,WAIT,WAIT,WAIT,WAIT,WAIT
2,15,495.0,WAIT,132,132,WAIT,WAIT,WAIT,132
3,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
4,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,79
5,15,495.0,WAIT,176,110,WAIT,204,WAIT,WAIT
6,15,495.0,WAIT,110,110,WAIT,WAIT,WAIT,WAIT
7,15,495.0,WAIT,186,93,207,207,207,138
8,15,495.0,WAIT,186,93,WAIT,WAIT,WAIT,138
9,15,495.0,WAIT,138,93,WAIT,WAIT,WAIT,138
10,15,495.0,WAIT,132,132,132,132,WAIT,WAIT
11,15,495.0,WAIT,110,110,WAIT,221,WAIT,WAIT
12,15,495.0,WAIT,186,245,105,195,105,33
13,15,495.0,WAIT,186,245,105,105,105,WAIT
14,15,495.0,WAIT,79,110,206,206,206,WAIT
15,15,495.0,WAIT,138,93,WAIT,WAIT,WAIT,16
16,15,495.0,WAIT,138,93,93,9,93,WAIT
17,15,495.0,WAIT,186,33,WAIT,WAIT,WAIT,WAIT
18,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,174
19,15,495.0,WAIT,138,93,WAIT,WAIT,WAIT,191
20,15,495.0,WAIT,138,138,199,199,199,78
21,15,495.0,WAIT,89,245,WAIT,WAIT,WAIT,WAIT
22,15,495.0,WAIT,89,245,WAIT,245,WAIT,WAIT
23,15,495.0,WAIT,44,1,WAIT,WAIT,WAIT,WAIT
24,15,495.0,WAIT,239,138,WAIT,WAIT,WAIT,151
25,15,495.0,WAIT,186,245,105,105,105,WAIT
26,15,495.0,WAIT,79,245,111,111,111,WAIT
27,15,495.0,WAIT,WAIT,201,WAIT,WAIT,WAIT,WAIT
28,15,495.0,WAIT,132,132,93,132,93,134
29,15,495.0,WAIT,39,55,WAIT,WAIT,WAIT,WAIT
30,15,495.0,WAIT,132,132,WAIT,2,WAIT,132
31,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,78
32,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
33,15,495.0,WAIT,186,245,WAIT,105,WAIT,WAIT
34,15,495.0,WAIT,186,195,WAIT,WAIT,WAIT,232
35,15,495.0,WAIT,186,96,WAIT,WAIT,WAIT,WAIT
36,15,495.0,WAIT,186,207,WAIT,WAIT,WAIT,198
37,15,495.0,WAIT,186,226,WAIT,WAIT,WAIT,WAIT
38,15,495.0,WAIT,132,132,132,132,132,WAIT
39,15,495.0,WAIT,132,132,WAIT,WAIT,WAIT,WAIT
40,15,495.0,WAIT,186,245,WAIT,195,WAIT,195
41,15,495.0,WAIT,262,138,199,WAIT,199,WAIT
42,15,495.0,WAIT,236,138,199,199,199,WAIT
43,15,495.0,WAIT,186,138,199,8,199,WAIT
44,15,495.0,WAIT,23,110,WAIT,204,WAIT,WAIT
45,15,495.0,WAIT,186,70,33,195,33,33
46,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
47,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
48,15,495.0,WAIT,186,138,WAIT,WAIT,138,WAIT
49,15,495.0,WAIT,186,195,WAIT,WAIT,WAIT,WAIT
50,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
51,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
52,15,495.0,WAIT,186,245,WAIT,WAIT,WAIT,54
53,15,495.0,WAIT,236,93,93,93,93,138
54,15,495.0,WAIT,186,245,195,195,195,WAIT
55,15,495.0,WAIT,245,245,WAIT,WAIT,WAIT,WAIT
56,15,495.0,WAIT,186,93,93,93,93,WAIT
57,15,495.0,WAIT,186,132,93,WAIT,93,138
58,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,208
59,15,495.0,WAIT,138,138,199,199,199,78
60,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
61,15,495.0,WAIT,186,34,WAIT,WAIT,WAIT,189
62,15,495.0,WAIT,186,111,WAIT,WAIT,WAIT,WAIT
63,15,495.0,WAIT,186,132,132,132,132,132
64,15,495.0,WAIT,138,93,WAIT,WAIT,WAIT,175
65,15,495.0,WAIT,186,245,105,105,105,WAIT
66,15,495.0,WAIT,186,195,WAIT,WAIT,WAIT,WAIT
67,15,495.0,WAIT,79,245,245,221,245,WAIT
68,15,495.0,WAIT,186,138,199,186,162,249
69,15,495.0,WAIT,138,138,199,199,199,247
70,15,495.0,WAIT,186,93,WAIT,WAIT,236,138
71,15,495.0,WAIT,79,111,WAIT,WAIT,WAIT,WAIT
72,15,495.0,WAIT,186,257,WAIT,WAIT,WAIT,WAIT
73,15,495.0,WAIT,262,93,93,93,93,138
74,15,495.0,WAIT,262,138,199,8,199,138
75,15,495.0,WAIT,186,138,207,8,207,138
76,15,495.0,WAIT,132,132,132,132,132,132
77,15,495.0,WAIT,186,132,132,132,132,WAIT
78,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
79,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
80,15,495.0,WAIT,186,138,226,226,226,226
81,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,WAIT
82,15,495.0,WAIT,186,93,207,207,207,138
83,15,495.0,WAIT,186,93,WAIT,WAIT,WAIT,WAIT
84,15,495.0,WAIT,23,110,WAIT,204,WAIT,WAIT
85,15,495.0,WAIT,186,111,WAIT,WAIT,WAIT,WAIT
86,15,495.0,WAIT,132,132,WAIT,2,WAIT,WAIT
87,15,495.0,WAIT,186,245,105,195,105,WAIT
88,15,495.0,WAIT,186,245,105,195,105,33
89,15,495.0,WAIT,79,245,WAIT,WAIT,WAIT,WAIT
90,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,249
91,15,495.0,WAIT,79,154,WAIT,WAIT,WAIT,WAIT
92,15,495.0,WAIT,236,93,93,93,93,138
93,15,495.0,WAIT,132,132,WAIT,WAIT,WAIT,138
94,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
95,15,495.0,WAIT,132,132,93,93,93,138
96,15,495.0,WAIT,186,132,WAIT,132,WAIT,132
97,15,495.0,WAIT,186,195,195,WAIT,195,WAIT
98,15,495.0,WAIT,138,93,93,192,93,138
99,15,495.0,WAIT,176,110,WAIT,WAIT,WAIT,WAIT
100,15,495.0,WAIT,186,138,199,207,WAIT,WAIT
101,15,495.0,WAIT,98,93,WAIT,WAIT,WAIT,19
102,15,495.0,WAIT,186,132,132,132,132,WAIT
103,15,495.0,WAIT,186,1,WAIT,195,WAIT,WAIT
104,15,495.0,WAIT,186,1,WAIT,WAIT,WAIT,WAIT
105,15,495.0,WAIT,186,245,WAIT,195,WAIT,WAIT
106,15,495.0,WAIT,186,245,195,195,195,195
107,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
108,15,495.0,WAIT,245,245,WAIT,WAIT,WAIT,WAIT
109,15,495.0,WAIT,23,110,WAIT,110,WAIT,WAIT
110,15,495.0,WAIT,44,WAIT,WAIT,WAIT,WAIT,WAIT
111,15,495.0,WAIT,186,245,WAIT,WAIT,WAIT,257
112,15,495.0,WAIT,186,138,226,226,226,226
113,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
114,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
115,15,495.0,WAIT,44,1,WAIT,110,WAIT,WAIT
116,15,495.0,WAIT,236,138,WAIT,WAIT,WAIT,WAIT
117,15,495.0,WAIT,2,2,WAIT,WAIT,WAIT,WAIT
118,15,495.0,WAIT,44,1,WAIT,204,WAIT,WAIT
119,15,495.0,WAIT,138,138,199,199,199,247
120,15,495.0,WAIT,236,138,199,WAIT,199,WAIT
121,15,495.0,WAIT,132,132,93,93,93,28
122,15,495.0,WAIT,132,132,132,132,132,131
123,15,495.0,WAIT,89,245,WAIT,WAIT,WAIT,WAIT
124,15,495.0,WAIT,132,132,132,132,132,132
125,15,495.0,WAIT,186,195,249,195,249,211
126,15,495.0,WAIT,138,93,199,199,199,199
127,15,495.0,WAIT,151,138,199,128,199,243
128,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,127
129,15,495.0,WAIT,186,93,207,207,207,138
130,15,495.0,WAIT,132,132,132,132,28,132
131,15,495.0,WAIT,132,132,132,132,132,WAIT
132,15,495.0,WAIT,WAIT,WAIT,WAIT,WAIT,WAIT,WAIT
133,15,495.0,WAIT,186,245,WAIT,WAIT,WAIT,257
134,15,495.0,WAIT,132,132,WAIT,WAIT,WAIT,WAIT
135,15,495.0,WAIT,132,132,93,93,93,28
136,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
137,15,495.0,WAIT,186,138,199,207,199,WAIT
138,15,495.0,WAIT,186,93,199,WAIT,WAIT,WAIT
139,15,495.0,WAIT,132,132,132,132,132,219
140,15,495.0,WAIT,186,138,207,207,207,207
141,15,495.0,WAIT,186,138,WAIT,207,WAIT,WAIT
142,15,495.0,WAIT,186,138,WAIT,WAIT,236,WAIT
143,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
144,15,495.0,WAIT,186,138,WAIT,195,WAIT,211
145,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
146,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
147,15,495.0,WAIT,138,138,199,199,199,WAIT
148,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,79
149,15,495.0,WAIT,39,154,154,154,154,WAIT
150,15,495.0,WAIT,39,154,154,154,154,210
151,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,WAIT
152,15,495.0,WAIT,236,138,199,199,199,WAIT
153,15,495.0,WAIT,138,138,WAIT,WAIT,WAIT,220
154,15,495.0,WAIT,39,55,WAIT,WAIT,WAIT,155
155,15,495.0,WAIT,89,154,154,154,154,WAIT
156,15,495.0,WAIT,109,1,WAIT,WAIT,WAIT,WAIT
157,15,495.0,WAIT,186,93,207,207,207,WAIT
158,15,495.0,WAIT,186,138,WAIT,WAIT,WAIT,249
159,15,495.0,WAIT,138,138,199,199,199,199
160,15,495.0,WAIT,186,93,93,WAIT,93,WAIT
161,15,495.0,WAIT,186,138,199,207,236,199
162,15,495.0,WAIT,186,138,207,207,93,199
163,15,495.0,WAIT,186,138,199,207,WAIT,138
164,15,495.0,WAIT,186,138,WAIT,207,237,WAIT
165,15,495.0,WAIT,79,111,WAIT,WAIT,WAIT,WAIT
166,15,495.0,WAIT,236,138,199,WAIT,199,WAIT
167,15,495.0,WAIT,138,138,199,199,199,147
168,15,495.0,WAIT,236,138,199,199,199,WAIT
169,15,495.0,WAIT,138,138,199,WAIT,199,247
170,15,495.0,WAIT,186,138,WAIT,207,WAIT,WAIT
171,15,495.0,WAIT,262,93,93,93,93,138
172,15,495.0,WAIT,44,110,WAIT,110,WAIT,WAIT
173,15,495.0,WAIT,186,93,70,93,70,138
174,15,495.0,WAIT,138,138,199,WAIT,199,WAIT
