zone_id,zone_name,borough,service_zone,centroid_x,centroid_y,centroid_lon,centroid_lat,area_sqft
33,Brooklyn Heights,Brooklyn,Boro Zone,985567.1393607879,192774.49236567307,-73.99525009947318,40.6957980847225,11017800.759540867
34,Brooklyn Navy Yard,Brooklyn,Boro Zone,992238.7448684232,194618.42574558523,-73.97118860464191,40.70085574405344,11192812.838980518
35,Brownsville,Brooklyn,Boro Zone,1009147.2314989058,181203.32110491273,-73.91025776959916,40.664002936640344,32730871.007436447
36,Bushwick North,Brooklyn,Boro Zone,1007067.3784547453,194506.2645740725,-73.91770956300488,40.70052207677384,25019447.213806424
37,Bushwick South,Brooklyn,Boro Zone,1005813.8376355437,192491.0725491703,-73.92223688327465,40.69499398960586,45671565.952530965
38,Cambria Heights,Queens,Boro Zone,1057581.8857305443,192354.37534157524,-73.73555411751046,40.69434123971375,33076512.31755539
39,Canarsie,Brooklyn,Boro Zone,1012077.4831532118,171746.3489405953,-73.8997346848635,40.63803689672939,82069259.65978687
40,Carroll Gardens,Brooklyn,Boro Zone,985371.6110268093,186726.9441730333,-73.99595622535054,40.67919897887253,11009638.364660673
41,Central Harlem,Manhattan,Boro Zone,997734.6452331402,232321.2905475168,-73.95129204385638,40.804333857858566,14433091.695048453
42,Central Harlem North,Manhattan,Boro Zone,1000643.632259087,237395.8715478042,-73.94077208625764,40.8182572500734,25401215.571184408
43,Central Park,Manhattan,Yellow Zone,993789.0096985319,224356.21221165065,-73.96555540550199,40.78247701262984,38307176.129050195
44,Charleston/Tottenville,Staten Island,Boro Zone,919325.6707014753,130813.71730920512,-74.23353546082052,40.52549110546785,145814718.1643353
45,Chinatown,Manhattan,Yellow Zone,984762.4692829204,198844.63611660182,-73.99815145865519,40.712459285136994,7450336.470292397
46,City Island,Bronx,Boro Zone,1044565.4049743084,248697.32700109552,-73.78198762631824,40.849085690707966,17352035.396625176
47,Claremont/Bathgate,Bronx,Boro Zone,1011831.0101993148,246329.04426500178,-73.90031694602852,40.84274838600792,16451591.38915591
48,Clinton East,Manhattan,Yellow Zone,987063.1857021254,216986.07003374878,-73.98984489812494,40.76225259858687,9512871.478483802
49,Clinton Hill,Brooklyn,Boro Zone,994687.7989075348,189923.67993134004,-73.96236337094902,40.687967206026975,20529807.793920774
50,Clinton West,Manhattan,Yellow Zone,985597.5343919232,218437.82028573466,-73.99513534858681,40.76623762332451,8868555.090206767
51,Co-Op City,Bronx,Boro Zone,1031744.9710915012,257736.0317728284,-73.82826339600581,40.87397243195906,39876706.61028527
52,Cobble Hill,Brooklyn,Boro Zone,985158.534254694,189441.98718140792,-73.99672407074303,40.6866511779156,4567364.464888411
53,College Point,Queens,Boro Zone,1027782.0265390344,223823.08273507966,-73.84281297899702,40.780911658515755,50616171.08127094
54,Columbia Street,Brooklyn,Boro Zone,983442.5831941621,189642.16029755108,-74.00291135102258,40.68720061705318,6213454.976435385
55,Coney Island,Brooklyn,Boro Zone,987599.1763107228,149479.23529518777,-73.98794360684474,40.576961310705336,47477217.557842866
56,Corona,Queens,Boro Zone,1023365.172611275,209422.59485546063,-73.85884527575628,40.741406719488175,18264365.579350106
57,Corona,Queens,Boro Zone,1024817.4538048006,213218.63492433997,-73.8535815482027,40.751819339588245,1819609.0363074085
58,Country Club,Bronx,Boro Zone,1033945.7966954281,245891.95429244667,-73.8203932847595,40.84145193921358,13303673.525735665
59,Crotona Park,Bronx,Boro Zone,1013307.8668851721,244801.2399171087,-73.89498592772226,40.83855027505839,6338822.233478144
60,Crotona Park East,Bronx,Boro Zone,1015824.0717104394,243143.05780958594,-73.88590027069773,40.83399041103506,16316129.854729848
61,Crown Heights North,Brooklyn,Boro Zone,1001091.0141538235,185009.74769500326,-73.93928693565553,40.674469714192334,51618635.16828606
62,Crown Heights South,Brooklyn,Boro Zone,998457.1474750465,182119.2885742171,-73.94878830363868,40.666540670529315,15993439.626094885
63,Cypress Hills,Brooklyn,Boro Zone,1018038.508018096,188441.23189381982,-73.87817285854474,40.68383988904548,35688541.69058471
64,Douglaston,Queens,Boro Zone,1056461.1692268404,216496.53369807045,-73.73933650195845,40.760614500455986,94785729.04373889
65,Downtown Brooklyn/MetroTech,Brooklyn,Boro Zone,988108.3766447257,192606.94834778874,-73.98608592282788,40.69533747220738,8264536.35969139
66,DUMBO/Vinegar Hill,Brooklyn,Boro Zone,988214.5459807585,195128.66351404483,-73.98570157061832,40.70225894512564,7669160.164758404
67,Dyker Heights,Brooklyn,Boro Zone,980418.277887647,165020.58539900745,-74.01380228070624,40.6196189778478,39878699.227609895
68,East Chelsea,Manhattan,Yellow Zone,984272.7786326221,211948.91240008172,-73.99991779023728,40.7484273300986,11212740.372394182
69,East Concourse/Concourse Village,Bronx,Boro Zone,1007764.085658132,242196.03761468016,-73.91503006977001,40.83141625187568,20069273.66852133
70,East Elmhurst,Queens,Boro Zone,1020706.745137329,217413.87058175215,-73.86839538867875,40.76335208099607,19726946.865242876
71,East Flatbush/Farragut,Brooklyn,Boro Zone,1001465.1562155226,174013.8443005886,-73.93796619973367,40.6442876673477,38680153.413747504
72,East Flatbush/Remsen Village,Brooklyn,Boro Zone,1005823.7039946363,176959.91492476902,-73.92225101477305,40.652364445415,32706946.901540563
73,East Flushing,Queens,Boro Zone,1037640.2378106113,214077.6206734465,-73.80729410936029,40.75410890581649,29454380.830762308
74,East Harlem North,Manhattan,Boro Zone,1001596.4822018786,231170.7231356335,-73.9373456595586,40.80116912880846,24497527.7530612
75,East Harlem South,Manhattan,Boro Zone,999272.1113831651,227103.7596245498,-73.94575022751276,40.79001067629398,16651203.548252013
76,East New York,Brooklyn,Boro Zone,1018425.395770319,180096.55428265326,-73.87682021500527,40.660934157913516,117150572.0528022
77,East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,1013278.1286526012,182139.0472945757,-73.89536390861545,40.666558715822845,19397517.07301945
78,East Tremont,Bronx,Boro Zone,1015923.6509313948,247139.97024585522,-73.88552154399945,40.84496040702046,19265136.849393677
79,East Village,Manhattan,Yellow Zone,988147.6579909977,204368.5018753222,-73.98593745737395,40.727620122038296,10895063.419956302
80,East Williamsburg,Brooklyn,Boro Zone,1001771.8842984998,199911.28634464616,-73.9367935879161,40.71536964922733,39166050.81671288
81,Eastchester,Bronx,Boro Zone,1029422.4201378655,260268.37646953634,-73.83664438963196,40.880935114970065,40256448.03559383
82,Elmhurst,Queens,Boro Zone,1018302.534288022,208718.58925015814,-73.8771183310234,40.73949534354323,32671521.420201957
83,Elmhurst/Maspeth,Queens,Boro Zone,1014131.0479577216,208286.3127456639,-73.89217342295797,40.73832393052052,21956022.63251699
84,Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,932076.4501930304,131946.88658336038,-74.18767927741463,40.528685582160755,140862090.79656002
85,Erasmus,Brooklyn,Boro Zone,997674.78128442,174677.62359658885,-73.95162326816249,40.64611615465671,14522165.916722812
86,Far Rockaway,Queens,Boro Zone,1052215.5705983127,158853.81499105782,-73.75524330826842,40.60243266654381,54316299.287827805
87,Financial District North,Manhattan,Yellow Zone,982171.727891981,196785.94084490498,-74.00749595416085,40.706808425516016,4182716.8385355086
88,Financial District South,Manhattan,Yellow Zone,981057.2642958593,195528.92479920073,-74.0115150281245,40.70335788054845,2621586.361983889
89,Flatbush/Ditmas Park,Brooklyn,Boro Zone,995082.8902422966,171682.828384498,-73.96096805763649,40.63789963509721,45253836.296228275
90,Flatiron,Manhattan,Yellow Zone,985089.2186553577,209708.74184834195,-73.99697147759031,40.742278583312206,5584323.850991554
91,Flatlands,Brooklyn,Boro Zone,1003654.1440255485,167452.06576771155,-73.93009718315575,40.62627246088452,54341521.86908527
92,Flushing,Queens,Boro Zone,1031660.7208707302,216612.8159510848,-73.82885854846761,40.7611014398131,37843336.9811667
93,Flushing Meadows-Corona Park,Queens,Boro Zone,1028348.080639231,209164.12047047325,-73.84086521275654,40.74067383007372,54770228.94910867
94,Fordham South,Bronx,Boro Zone,1012040.665243386,251942.57172494626,-73.89953594476775,40.858155189262895,6307283.533786809
95,Forest Hills,Queens,Boro Zone,1026474.8421587804,202150.22155636095,-73.84766908657137,40.72143156737173,57843767.6370688
96,Forest Park/Highland Park,Queens,Boro Zone,1019865.1809046713,193239.00952966628,-73.8715612898338,40.697001507866105,55318432.5914803
97,Fort Greene,Brooklyn,Boro Zone,991215.6982442432,190949.61806373845,-73.9748820144768,40.690786583767746,16499500.810201744
98,Fresh Meadows,Queens,Boro Zone,1045981.3581738913,206939.6178548511,-73.77725343413134,40.73446263709749,49048453.05609161
99,Freshkills Park,Staten Island,Boro Zone,932463.5770637904,149465.339574893,-74.18642081572338,40.57677255023222,116225516.81094263
100,Garment District,Manhattan,Yellow Zone,987356.7624025445,213801.8903360138,-73.98878660966813,40.75351274051303,3782271.7856891034
101,Glen Oaks,Queens,Boro Zone,1064321.6844356095,211194.12738601945,-73.7110254285456,40.74599312386359,45665147.001575395
102,Glendale,Queens,Boro Zone,1018703.895664441,195621.72184014547,-73.87573702732386,40.7035460869547,29960993.345459864
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,971690.5178691468,190614.3221264578,-74.04528828347375,40.68986010346147,639620.2331307604
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,972944.834560436,193859.36077724295,-74.04077078511479,40.69876867282886,1204254.9579302247
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,978960.5655138263,190219.67387671873,-74.01907288309684,40.68878421555262,7732952.416888809
106,Gowanus,Brooklyn,Boro Zone,986844.2853590193,184655.37448370285,-73.99064755008082,40.67351267831398,11482281.936924793
107,Gramercy,Manhattan,Yellow Zone,988669.5907152938,207721.84599820204,-73.98405214924436,40.73682398302768,7533221.397476041
108,Gravesend,Brooklyn,Boro Zone,989407.3274538667,153648.26672411078,-73.9814314279712,40.58840360836442,31337062.598230544
109,Great Kills,Staten Island,Boro Zone,942318.0695212188,140370.83697271615,-74.15089028926955,40.55186202510041,89598176.26223636
110,Great Kills Park,Staten Island,Boro Zone,948580.6069577679,138144.9262860037,-74.12834311100727,40.54577972821088,23397177.94222166
111,Green-Wood Cemetery,Brooklyn,Boro Zone,986959.7652887183,176867.70260620638,-73.9902343725197,40.65213720698318,21096525.841185313
112,Greenpoint,Brooklyn,Boro Zone,998235.3938487581,205059.36264106684,-73.94954001249944,40.72950616875672,35375718.88928038
113,Greenwich Village North,Manhattan,Yellow Zone,985828.421266087,206174.92383447656,-73.9943047162786,40.732579026253674,5852730.83075177
114,Greenwich Village South,Manhattan,Yellow Zone,984976.1217439739,204630.6079875288,-73.9973801630823,40.72834036831643,4748116.2083848445
115,Grymes Hill/Clifton,Staten Island,Boro Zone,959864.0081423334,164432.11292961225,-74.0878388464394,40.61797101224406,37744183.29775539
116,Hamilton Heights,Manhattan,Boro Zone,998496.7141201992,240584.4096847475,-73.94852183123933,40.82701260635661,16093998.066844339
117,Hammels/Arverne,Queens,Boro Zone,1042676.051909837,155778.33770686,-73.78962334973271,40.59405915427385,61915726.34571673
118,Heartland Village/Todt Hill,Staten Island,Boro Zone,947313.2115533687,153002.19989383093,-74.13298451453818,40.58655482658561,184872156.28682882
119,Highbridge,Bronx,Boro Zone,1004682.7553744144,244528.83953167713,-73.92615757846964,40.837826783716714,16460938.853881186
120,Highbridge Park,Manhattan,Boro Zone,1003566.2603626965,247748.72753217374,-73.9301832301702,40.8466669452917,7799626.889225167
121,Hillcrest/Pomonok,Queens,Boro Zone,1039005.1967439284,204689.62747248283,-73.80244388409426,40.72833291964906,38832853.87166821
122,Hollis,Queens,Boro Zone,1050471.5070567904,198271.7856382352,-73.76113689765596,40.71063914369108,22887594.89805395
123,Homecrest,Brooklyn,Boro Zone,994154.4642102672,157857.78764196427,-73.96433354731992,40.59995386265359,29991986.186756667
124,Howard Beach,Queens,Boro Zone,1027278.1400976918,179131.7944112152,-73.8449181204672,40.6582475138648,63862940.22734229
125,Hudson Sq,Manhattan,Yellow Zone,982175.1477564898,203883.8201161869,-74.0074858070925,40.72629040399525,4105926.9211852145
126,Hunts Point,Bronx,Boro Zone,1015935.0216336484,235158.32693405412,-73.8855370337455,40.81207420841891,49744786.10115223
127,Inwood,Manhattan,Boro Zone,1006568.4872156872,254822.37005747703,-73.9193084235328,40.866074893138844,14430827.646517234
128,Inwood Hill Park,Manhattan,Boro Zone,1005166.5528590761,257117.8925632856,-73.92436989163414,40.872378832666904,9982965.5933928
129,Jackson Heights,Queens,Boro Zone,1016021.9707671711,215206.60151323938,-73.88531729044865,40.75731177578825,47842299.757831804
130,Jamaica,Queens,Boro Zone,1041371.2864290018,195964.28511474803,-73.79398113023713,40.70436904839545,47307643.25240044
131,Jamaica Estates,Queens,Boro Zone,1046313.573758885,201910.06961972587,-73.77610108565929,40.72065547306544,42789340.187272765
132,JFK Airport,Queens,Airports,1043488.1868617043,175062.67758486557,-73.78652986349012,40.64698510024821,196076274.13256884
133,Kensington,Brooklyn,Boro Zone,990855.5089877855,172661.46367470387,-73.97619875860275,40.640589941044496,15893533.843715664
134,Kew Gardens,Queens,Boro Zone,1031739.0022501621,197284.97927258155,-73.82871239790782,40.70805097274517,20441824.782739896
135,Kew Gardens Hills,Queens,Boro Zone,1033808.0664842709,204694.61460670287,-73.82119497835454,40.72837725250497,47249324.57242025
136,Kingsbridge Heights,Bronx,Boro Zone,1010274.3202539553,254530.65081090233,-73.90591127838628,40.86526406538747,13170138.819437936
137,Kips Bay,Manhattan,Yellow Zone,990763.615736023,209039.3538898732,-73.97649469938301,40.74043892115907,6930500.994082938
138,LaGuardia Airport,Queens,Airports,1019251.3069710146,221428.0449285067,-73.873628438902,40.774375816732636,31526079.68021434
139,Laurelton,Queens,Boro Zone,1055193.0494190822,186064.86991700612,-73.7442347963469,40.67709753140416,45138720.727584645
140,Lenox Hill East,Manhattan,Yellow Zone,996787.6630546569,218166.4343533099,-73.9547390603464,40.76548395144242,7459065.995354694
141,Lenox Hill West,Manhattan,Yellow Zone,995431.1975186545,218699.1927268597,-73.95963501136171,40.76694805479654,7736066.734777964
142,Lincoln Square East,Manhattan,Yellow Zone,989365.0684741095,221132.7753491493,-73.98153235360773,40.773633196128905,7634308.025314353
143,Lincoln Square West,Manhattan,Yellow Zone,987671.7097013488,221982.08549339895,-73.9876456908124,40.775965147319646,8187361.534849179
144,Little Italy/NoLiTa,Manhattan,Yellow Zone,985104.1485227022,201915.7902757445,-73.99691858884708,40.72088884086805,4794914.441044548
145,Long Island City/Hunters Point,Queens,Boro Zone,998411.7431344199,210842.5649406597,-73.94889156149159,40.74537934472369,27554733.884128876
146,Long Island City/Queens Plaza,Queens,Boro Zone,1002305.987357746,214074.29665507557,-73.93482891700025,40.75424253686729,10562275.68741284
147,Longwood,Bronx,Boro Zone,1012217.112268326,237923.2448208716,-73.89895654395085,40.81967568059164,10731427.215112172
148,Lower East Side,Manhattan,Yellow Zone,986773.5460915552,201205.26489160702,-73.99089636602756,40.718938301131104,7044173.837964757
149,Madison,Brooklyn,Boro Zone,998651.5086685958,159666.94559370997,-73.94813561950728,40.6049134658026,27379162.907263916
150,Manhattan Beach,Brooklyn,Boro Zone,999908.708734879,150763.56700925966,-73.94362868028261,40.58047335130059,20404764.764083467
151,Manhattan Valley,Manhattan,Yellow Zone,993063.3768608607,229997.64462554798,-73.96816820440951,40.79796198028393,8969506.334865436
152,Manhattanville,Manhattan,Boro Zone,997042.6288289687,237290.9067861937,-73.95378220824486,40.81797510016546,10648103.06669228
153,Marble Hill,Manhattan,Boro Zone,1009034.6862684477,258429.1415350053,-73.91037864632285,40.875967791801536,3271456.1269193916
154,Marine Park/Floyd Bennett Field,Brooklyn,Boro Zone,1011301.6035144813,155545.39617014467,-73.90259516689072,40.59357106687244,98201037.44161859
155,Marine Park/Mill Basin,Brooklyn,Boro Zone,1007772.0738285038,163199.94683754715,-73.91527729481503,40.61459130879868,69331025.3775127
156,Mariners Harbor,Staten Island,Boro Zone,937831.3979157201,169323.09568286434,-74.16723425044069,40.63130767438205,89054051.51956028
157,Maspeth,Queens,Boro Zone,1011322.0566218888,203062.48265449997,-73.90233075376986,40.72399485039648,35633972.48273691
158,Meatpacking/West Village West,Manhattan,Yellow Zone,981760.1630097581,207069.85524818485,-74.00898419902498,40.7350351831651,7107118.474808724
159,Melrose South,Bronx,Boro Zone,1008372.3431942797,237403.26520762578,-73.91284931725946,40.81825981956973,17269477.264182337
160,Middle Village,Queens,Boro Zone,1017500.3337736354,201008.7480716868,-73.88005123769709,40.71833678461975,57691348.07055576
161,Midtown Center,Manhattan,Yellow Zone,990428.525989642,215447.5272239114,-73.97769803041939,40.758027981780664,7258511.623320484
162,Midtown East,Manhattan,Yellow Zone,991908.5895678961,214959.58164229896,-73.97235615813489,40.756687537617346,4834224.157280132
163,Midtown North,Manhattan,Yellow Zone,990463.7954353758,217776.88244811285,-73.97756856896713,40.7644214387746,4123463.8857998755
164,Midtown South,Manhattan,Yellow Zone,988362.833435725,212002.89303566894,-73.98515644835915,40.74857453693654,5615963.85489075
165,Midwood,Brooklyn,Boro Zone,996235.9681391948,165498.6289448304,-73.95682439069601,40.620923828653744,35799638.16144781
166,Morningside Heights,Manhattan,Boro Zone,994834.7872526807,234186.3268721064,-73.96176369363279,40.80945681703888,15926854.219117967
167,Morrisania/Melrose,Bronx,Boro Zone,1011274.10312161,240777.45048551454,-73.90235207986518,40.82751259617852,16892045.850118253
168,Mott Haven/Port Morris,Bronx,Boro Zone,1007276.6552625739,233426.31053268496,-73.91682152685682,40.80734711638027,41905684.81676811
169,Mount Hope,Bronx,Boro Zone,1010498.8966177455,248626.50066211302,-73.90512246226346,40.849058285066626,14719292.146052158
170,Murray Hill,Manhattan,Yellow Zone,990209.6000586881,211701.31597992923,-73.97849158432054,40.74774573203895,7502101.926456188
171,Murray Hill-Queens,Queens,Boro Zone,1037005.2460888692,219265.33237573717,-73.80954532050765,40.76835161995764,52487948.39100107
172,New Dorp/Midland Beach,Staten Island,Boro Zone,955074.2840242308,147604.72249633484,-74.10501884907058,40.57176876885639,55406033.34222402
173,North Corona,Queens,Boro Zone,1022197.0870768115,213491.23352672328,-73.86303757637424,40.75257918636062,18001087.45663862
174,Norwood,Bronx,Boro Zone,1017705.6853706642,258865.70276778052,-73.87902219325525,40.87713740796544,15710740.856833003
175,Oakland Gardens,Queens,Boro Zone,1052245.0396521217,209946.98083071175,-73.75462177515529,40.74267113545859,50975578.397614144
176,Oakwood,Staten Island,Boro Zone,950189.7218172458,144049.9002898066,-74.12258304710812,40.56199406259295,55952297.25448834
177,Ocean Hill,Brooklyn,Boro Zone,1008206.4863896965,185807.8687629447,-73.91363232497895,40.676643979648,20099658.941671386
178,Ocean Parkway South,Brooklyn,Boro Zone,992488.3342148869,164182.16421082919,-73.97032564615044,40.617314684335554,17782012.250833534
179,Old Astoria,Queens,Boro Zone,1004100.5532674759,220388.74304930714,-73.92833298669993,40.77157021384615,15621248.516474873
180,Ozone Park,Queens,Boro Zone,1026677.5797665772,185450.93130147815,-73.84704288454616,40.675595010201214,25030355.285845235
181,Park Slope,Brooklyn,Boro Zone,989405.7462567874,183512.2660660261,-73.98141430754676,40.670373980768005,31016227.579200797
182,Parkchester,Bronx,Boro Zone,1023546.1195878815,244523.60478571683,-73.85798693850145,40.837748625040106,9180655.522147553
183,Pelham Bay,Bronx,Boro Zone,1030844.6058161812,248698.68510380972,-73.83158183808297,40.849172484756885,9595247.987183575
184,Pelham Bay Park,Bronx,Boro Zone,1037392.699343806,255671.9999736178,-73.80785826289252,40.86827511264962,98603933.15984306
185,Pelham Parkway,Bronx,Boro Zone,1024530.2532265898,250593.75299100287,-73.85439389980314,40.85440494014381,23034260.905978948
186,Penn Station/Madison Sq West,Manhattan,Yellow Zone,986345.3986004688,211974.4462185665,-73.99243754419264,40.74849716576957,3742467.602674393
187,Port Richmond,Staten Island,Boro Zone,945169.9571905945,168165.56998955715,-74.14078866147455,40.62816593004213,36421279.91964864
188,Prospect-Lefferts Gardens,Brooklyn,Boro Zone,998832.3808813528,179279.2193722589,-73.94744186388097,40.65874469984108,31639500.27434548
189,Prospect Heights,Brooklyn,Boro Zone,993240.6149544868,186158.9037662549,-73.96758665136912,40.67763534192634,10249789.601073727
190,Prospect Park,Brooklyn,Boro Zone,992874.5690428183,180324.55048010786,-73.9689138001589,40.661621710598034,27379729.07477142
191,Queens Village,Queens,Boro Zone,1055901.629081539,200041.3338398747,-73.74153154913715,40.71545380257635,69533445.62349182
192,Queensboro Hill,Queens,Boro Zone,1035449.7277915126,210299.49328919078,-73.81522924223742,40.74375187633024,37738152.182983115
193,Queensbridge/Ravenswood,Queens,Boro Zone,1000318.472670505,216284.73388045916,-73.941997345654,40.76031345682181,12750544.680823866
194,Randalls Island,Manhattan,Yellow Zone,1005129.3426642001,227468.71626552643,-73.92459671825748,40.79100048638123,23466439.23187808
195,Red Hook,Brooklyn,Boro Zone,981704.0644012764,185397.130970592,-74.00917842826674,40.675548647019355,24168828.88229373
196,Rego Park,Queens,Boro Zone,1022128.768997929,203864.03666497374,-73.86333836633429,40.72615524559957,19941127.825093787
197,Richmond Hill,Queens,Boro Zone,1031135.2530615153,192362.21698943275,-73.83092432071815,40.6945423878432,50988670.95472369
198,Ridgewood,Queens,Boro Zone,1011501.4868411963,196698.5440138868,-73.9017091770337,40.70652682085338,50486734.4163114
199,Rikers Island,Bronx,Boro Zone,1016742.2004998754,227529.73980097013,-73.88265799878711,40.791132912174135,18154787.634808525
200,Riverdale/North Riverdale/Fieldston,Bronx,Boro Zone,1009963.3806263335,267014.1902550762,-73.90698753009411,40.89952838046226,49027397.081777066
201,Rockaway Park,Queens,Boro Zone,1027736.5213460764,149890.08516115407,-73.84345437593673,40.57798298905335,37653243.49076634
202,Roosevelt Island,Manhattan,Boro Zone,998114.2657052308,216861.1622843492,-73.94995272044949,40.761899335777855,6316808.404840913
203,Rosedale,Queens,Boro Zone,1056534.442660378,179057.24700622662,-73.73947394708196,40.6578524002613,61521685.00953895
204,Rossville/Woodrow,Staten Island,Boro Zone,926485.9389783139,136202.98565098652,-74.20782577848769,40.540333107919224,64947800.89505086
205,Saint Albans,Queens,Boro Zone,1049933.6363754966,191188.33726989798,-73.76314608999355,40.69120081596648,77414581.01644655
206,Saint George/New Brighton,Staten Island,Boro Zone,955854.2053012605,172088.09238731404,-74.10231443709439,40.6389731051429,56069421.72251479
207,Saint Michaels Cemetery/Woodside,Queens,Boro Zone,1012130.8105779189,217633.2993820884,-73.89935257380462,40.76398556081556,4513710.74854738
208,Schuylerville/Edgewater Park,Bronx,Boro Zone,1033088.7374246694,239283.26241425486,-73.82353890836147,40.82331779920538,88567060.04994448
209,Seaport,Manhattan,Yellow Zone,983234.0457223997,197610.82357761072,-74.00366448904686,40.70907271927832,2798937.855261825
210,Sheepshead Bay,Brooklyn,Boro Zone,1000772.9141552745,154972.18794490898,-73.94050725344536,40.59202360691843,42925304.40985273
211,SoHo,Manhattan,Yellow Zone,983823.8071164908,203008.49133300316,-74.00153759512791,40.723888072060404,4012082.7374411793
212,Soundview/Bruckner,Bronx,Boro Zone,1020315.9032821191,240931.2162116811,-73.86967998064887,40.82790234607947,16261437.288066518
213,Soundview/Castle Hill,Bronx,Boro Zone,1023516.9037806736,237276.93187677432,-73.8581349352209,40.817858732890684,59602261.00681677
214,South Beach/Dongan Hills,Staten Island,Boro Zone,960498.7813147745,153070.10553933622,-74.08551242969601,40.586786351126605,67035907.11419348
