zone,time_bin,minutes_elapsed,best_action_zone,best_action_name,value,immediate_reward,action_travel_time_min,action_distance_miles
27,1,15.0,27,Breezy Point/Fort Tilden/Riis Beach,1.829674409808415,0.2858610848165417,15.0,0.0
27,2,30.0,27,Breezy Point/Fort Tilden/Riis Beach,1.5915601288576013,0.2858610848165417,15.0,0.0
27,3,45.0,27,Breezy Point/Fort Tilden/Riis Beach,1.3460814887021233,0.2858610848165417,15.0,0.0
27,4,60.0,27,Breezy Point/Fort Tilden/Riis Beach,1.0930107256552388,0.2858610848165417,15.0,0.0
27,5,75.0,27,Breezy Point/Fort Tilden/Riis Beach,0.8321130317924713,0.2858610848165417,15.0,0.0
27,6,90.0,27,Breezy Point/Fort Tilden/Riis Beach,0.5631463370885872,0.2858610848165417,15.0,0.0
27,7,105.0,27,Breezy Point/Fort Tilden/Riis Beach,0.2858610848165417,0.2858610848165417,15.0,0.0
28,0,0.0,28,Briarwood/Jamaica Hills,1.2869709790270751,0.1785338441881922,15.0,0.0
28,1,15.0,28,Briarwood/Jamaica Hills,1.1427186957101885,0.1785338441881922,15.0,0.0
28,2,30.0,28,Briarwood/Jamaica Hills,0.9940050015690682,0.1785338441881922,15.0,0.0
28,3,45.0,28,Briarwood/Jamaica Hills,0.8406919148256454,0.1785338441881922,15.0,0.0
28,4,60.0,28,Briarwood/Jamaica Hills,0.6826371862241786,0.1785338441881922,15.0,0.0
28,5,75.0,28,Briarwood/Jamaica Hills,0.5196941670474087,0.1785338441881922,15.0,0.0
28,6,90.0,28,Briarwood/Jamaica Hills,0.35171167305073864,0.1785338441881922,15.0,0.0
28,7,105.0,28,Briarwood/Jamaica Hills,0.1785338441881922,0.1785338441881922,15.0,0.0
30,0,0.0,2,Jamaica Bay,4.995696781725075,0.5894798785443455,5.135390903607488,1.0270781807214975
30,1,15.0,2,Jamaica Bay,4.312061203266384,0.5894798785443455,5.135390903607488,1.0270781807214975
30,2,30.0,2,Jamaica Bay,3.6072822564017564,0.5894798785443455,5.135390903607488,1.0270781807214975
30,3,45.0,2,Jamaica Bay,2.880706022520696,0.5894798785443455,5.135390903607488,1.0270781807214975
30,4,60.0,2,Jamaica Bay,2.242704766279679,0.5894798785443455,5.135390903607488,1.0270781807214975
30,5,75.0,2,Jamaica Bay,1.8077998530196888,0.5894798785443455,5.135390903607488,1.0270781807214975
30,6,90.0,2,Jamaica Bay,1.3594442723392863,0.5894798785443455,5.135390903607488,1.0270781807214975
30,7,105.0,2,Jamaica Bay,0.5894798785443455,0.5894798785443455,5.135390903607488,1.0270781807214975
38,0,0.0,38,Cambria Heights,1.770420054299025,0.24559986454459384,15.0,0.0
38,1,15.0,38,Cambria Heights,1.5719795770664238,0.24559986454459384,15.0,0.0
38,2,30.0,38,Cambria Heights,1.3674017654864228,0.24559986454459384,15.0,0.0
38,3,45.0,38,Cambria Heights,1.1564968050946691,0.24559986454459384,15.0,0.0
38,4,60.0,38,Cambria Heights,0.9390690108763662,0.24559986454459384,15.0,0.0
38,5,75.0,38,Cambria Heights,0.7149166457028582,0.24559986454459384,15.0,0.0
38,6,90.0,38,Cambria Heights,0.4838317331528499,0.24559986454459384,15.0,0.0
38,7,105.0,38,Cambria Heights,0.24559986454459384,0.24559986454459384,15.0,0.0
56,0,0.0,56,Corona,1.1348773536605732,0.1574347984010618,15.0,0.0
56,1,15.0,56,Corona,1.0076727373809395,0.1574347984010618,15.0,0.0
56,2,30.0,56,Corona,0.8765339577112142,0.1574347984010618,15.0,0.0
56,3,45.0,56,Corona,0.7413393394950025,0.1574347984010618,15.0,0.0
56,4,60.0,56,Corona,0.6019634444267431,0.1574347984010618,15.0,0.0
56,5,75.0,56,Corona,0.45827695466565077,0.1574347984010618,15.0,0.0
56,6,90.0,56,Corona,0.31014655285009174,0.1574347984010618,15.0,0.0
56,7,105.0,56,Corona,0.1574347984010618,0.1574347984010618,15.0,0.0
57,0,0.0,93,Flushing Meadows-Corona Park,3.270038605119971,0.5431959452380276,5.091176590544407,1.0182353181088815
57,1,15.0,93,Flushing Meadows-Corona Park,2.9151666258524784,0.5431959452380276,5.091176590544407,1.0182353181088815
57,2,30.0,93,Flushing Meadows-Corona Park,2.5493192245457856,0.5431959452380276,5.091176590544407,1.0182353181088815
57,3,45.0,93,Flushing Meadows-Corona Park,2.1721569551574422,0.5431959452380276,5.091176590544407,1.0182353181088815
57,4,60.0,93,Flushing Meadows-Corona Park,1.783329873313789,0.5431959452380276,5.091176590544407,1.0182353181088815
57,5,75.0,93,Flushing Meadows-Corona Park,1.3824772116193014,0.5431959452380276,5.091176590544407,1.0182353181088815
57,6,90.0,93,Flushing Meadows-Corona Park,0.9692270449239534,0.5431959452380276,5.091176590544407,1.0182353181088815
57,7,105.0,93,Flushing Meadows-Corona Park,0.5431959452380276,0.5431959452380276,5.091176590544407,1.0182353181088815
63,0,0.0,63,Cypress Hills,0.8467637690052364,0.11746651110507042,15.0,0.0
63,1,15.0,63,Cypress Hills,0.7518528431960474,0.11746651110507042,15.0,0.0
63,2,30.0,63,Cypress Hills,0.6540065279288423,0.11746651110507042,15.0,0.0
63,3,45.0,63,Cypress Hills,0.5531340379626514,0.11746651110507042,15.0,0.0
63,4,60.0,63,Cypress Hills,0.4491417802655474,0.11746651110507042,15.0,0.0
63,5,75.0,63,Cypress Hills,0.34193326717574946,0.11746651110507042,15.0,0.0
63,6,90.0,63,Cypress Hills,0.23140902687698872,0.11746651110507042,15.0,0.0
63,7,105.0,63,Cypress Hills,0.11746651110507042,0.11746651110507042,15.0,0.0
64,0,0.0,64,Douglaston,1.4537793337498788,0.20167417702917326,15.0,0.0
64,1,15.0,64,Douglaston,1.2908300584749541,0.20167417702917326,15.0,0.0
64,2,30.0,64,Douglaston,1.1228411148925577,0.20167417702917326,15.0,0.0
64,3,45.0,64,Douglaston,0.9496566369725612,0.20167417702917326,15.0,0.0
64,4,60.0,64,Douglaston,0.771115938085967,0.20167417702917326,15.0,0.0
64,5,75.0,64,Douglaston,0.5870533619142204,0.20167417702917326,15.0,0.0
64,6,90.0,64,Douglaston,0.3972981287474713,0.20167417702917326,15.0,0.0
64,7,105.0,64,Douglaston,0.20167417702917326,0.20167417702917326,15.0,0.0
70,0,0.0,70,East Elmhurst,2.6687019756273207,0.3702131830987817,15.0,0.0
70,1,15.0,70,East Elmhurst,2.36957607477169,0.3702131830987817,15.0,0.0
70,2,30.0,70,East Elmhurst,2.061198857394751,0.3702131830987817,15.0,0.0
70,3,45.0,70,East Elmhurst,1.7432842003051228,0.3702131830987817,15.0,0.0
70,4,60.0,70,East Elmhurst,1.415537131140558,0.3702131830987817,15.0,0.0
70,5,75.0,70,East Elmhurst,1.0776535546822437,0.3702131830987817,15.0,0.0
70,6,90.0,70,East Elmhurst,0.7293199707046,0.3702131830987817,15.0,0.0
70,7,105.0,70,East Elmhurst,0.3702131830987817,0.3702131830987817,15.0,0.0
76,0,0.0,76,East New York,0.8769341309141364,0.12165186631503558,15.0,0.0
76,1,15.0,76,East New York,0.7786415098959802,0.12165186631503558,15.0,0.0
76,2,30.0,76,East New York,0.6773089109081905,0.12165186631503558,15.0,0.0
76,3,45.0,76,East New York,0.5728423140135618,0.12165186631503558,15.0,0.0
76,4,60.0,76,East New York,0.46514479144177956,0.12165186631503558,15.0,0.0
76,5,75.0,76,East New York,0.3541164176564371,0.12165186631503558,15.0,0.0
76,6,90.0,76,East New York,0.23965417664062008,0.12165186631503558,15.0,0.0
76,7,105.0,76,East New York,0.12165186631503558,0.12165186631503558,15.0,0.0
86,0,0.0,86,Far Rockaway,2.0740393090542706,0.28771916140860465,15.0,0.0
86,1,15.0,86,Far Rockaway,1.8415671625213053,0.28771916140860465,15.0,0.0
86,2,30.0,86,Far Rockaway,1.6019051557862891,0.28771916140860465,15.0,0.0
86,3,45.0,86,Far Rockaway,1.35483092203885,0.28771916140860465,15.0,0.0
86,4,60.0,86,Far Rockaway,1.1001152171445827,0.28771916140860465,15.0,0.0
86,5,75.0,86,Far Rockaway,0.8375217069443073,0.28771916140860465,15.0,0.0
86,6,90.0,86,Far Rockaway,0.5668067479749512,0.28771916140860465,15.0,0.0
86,7,105.0,86,Far Rockaway,0.28771916140860465,0.28771916140860465,15.0,0.0
93,0,0.0,93,Flushing Meadows-Corona Park,3.166049979145784,0.43920731926384105,15.0,0.0
93,1,15.0,93,Flushing Meadows-Corona Park,2.811177999878292,0.43920731926384105,15.0,0.0
93,2,30.0,93,Flushing Meadows-Corona Park,2.4453305985715987,0.43920731926384105,15.0,0.0
93,3,45.0,93,Flushing Meadows-Corona Park,2.0681683291832558,0.43920731926384105,15.0,0.0
93,4,60.0,93,Flushing Meadows-Corona Park,1.6793412473396025,0.43920731926384105,15.0,0.0
93,5,75.0,93,Flushing Meadows-Corona Park,1.278488585645115,0.43920731926384105,15.0,0.0
93,6,90.0,93,Flushing Meadows-Corona Park,0.8652384189497668,0.43920731926384105,15.0,0.0
93,7,105.0,93,Flushing Meadows-Corona Park,0.43920731926384105,0.43920731926384105,15.0,0.0
101,0,0.0,101,Glen Oaks,1.4114477741412048,0.19580177105376304,15.0,0.0
101,1,15.0,101,Glen Oaks,1.253243302152002,0.19580177105376304,15.0,0.0
101,2,30.0,101,Glen Oaks,1.0901459083487,0.19580177105376304,15.0,0.0
101,3,45.0,101,Glen Oaks,0.9220042652525124,0.19580177105376304,15.0,0.0
101,4,60.0,101,Glen Oaks,0.7486623651533499,0.19580177105376304,15.0,0.0
101,5,75.0,101,Glen Oaks,0.5699593753603989,0.19580177105376304,15.0,0.0
101,6,90.0,101,Glen Oaks,0.3857294889759132,0.19580177105376304,15.0,0.0
101,7,105.0,101,Glen Oaks,0.19580177105376304,0.19580177105376304,15.0,0.0
117,0,0.0,117,Hammels/Arverne,2.138991769615003,0.2967296306906363,15.0,0.0
117,1,15.0,117,Hammels/Arverne,1.8992393184787288,0.2967296306906363,15.0,0.0
117,2,30.0,117,Hammels/Arverne,1.652071843080508,0.2967296306906363,15.0,0.0
117,3,45.0,117,Hammels/Arverne,1.3972600127730637,0.2967296306906363,15.0,0.0
117,4,60.0,117,Hammels/Arverne,1.1345674042086882,0.2967296306906363,15.0,0.0
117,5,75.0,117,Hammels/Arverne,0.8637502819773731,0.2967296306906363,15.0,0.0
117,6,90.0,117,Hammels/Arverne,0.5845573724605535,0.2967296306906363,15.0,0.0
117,7,105.0,117,Hammels/Arverne,0.2967296306906363,0.2967296306906363,15.0,0.0
124,0,0.0,124,Howard Beach,1.219531985792979,0.16917843298896937,15.0,0.0
124,1,15.0,124,Howard Beach,1.0828387142309377,0.16917843298896937,15.0,0.0
124,2,30.0,124,Howard Beach,0.9419178157133694,0.16917843298896937,15.0,0.0
124,3,45.0,124,Howard Beach,0.796638538891134,0.16917843298896937,15.0,0.0
124,4,60.0,124,Howard Beach,0.6468660885589326,0.16917843298896937,15.0,0.0
124,5,75.0,124,Howard Beach,0.492461500587591,0.16917843298896937,15.0,0.0
124,6,90.0,124,Howard Beach,0.3332815129882697,0.16917843298896937,15.0,0.0
124,7,105.0,124,Howard Beach,0.16917843298896937,0.16917843298896937,15.0,0.0
130,0,0.0,130,Jamaica,1.0324168372159295,0.1432210591820169,15.0,0.0
130,1,15.0,130,Jamaica,0.9166966783854767,0.1432210591820169,15.0,0.0
130,2,30.0,130,Jamaica,0.7973975455705772,0.1432210591820169,15.0,0.0
130,3,45.0,130,Jamaica,0.6744087488541859,0.1432210591820169,15.0,0.0
130,4,60.0,130,Jamaica,0.5476161749197619,0.1432210591820169,15.0,0.0
130,5,75.0,130,Jamaica,0.416902181172933,0.1432210591820169,15.0,0.0
130,6,90.0,130,Jamaica,0.2821454865885733,0.1432210591820169,15.0,0.0
130,7,105.0,130,Jamaica,0.1432210591820169,0.1432210591820169,15.0,0.0
132,0,0.0,132,JFK Airport,5.916194569626024,0.8207185528605617,15.0,0.0
132,1,15.0,132,JFK Airport,5.2530680585210945,0.8207185528605617,15.0,0.0
132,2,30.0,132,JFK Airport,4.569432480062405,0.8207185528605617,15.0,0.0
132,3,45.0,132,JFK Airport,3.8646535331977763,0.8207185528605617,15.0,0.0
132,4,60.0,132,JFK Airport,3.1380772993167163,0.8207185528605617,15.0,0.0
132,5,75.0,132,JFK Airport,2.389029635521809,0.8207185528605617,15.0,0.0
132,6,90.0,132,JFK Airport,1.6168155491353065,0.8207185528605617,15.0,0.0
132,7,105.0,132,JFK Airport,0.8207185528605617,0.8207185528605617,15.0,0.0
134,0,0.0,134,Kew Gardens,1.6784520564051992,0.23284169013829212,15.0,0.0
134,1,15.0,134,Kew Gardens,1.4903199652236157,0.23284169013829212,15.0,0.0
134,2,30.0,134,Kew Gardens,1.2963693557580656,0.23284169013829212,15.0,0.0
134,3,45.0,134,Kew Gardens,1.0964202738348179,0.23284169013829212,15.0,0.0
134,4,60.0,134,Kew Gardens,0.8902871996871401,0.23284169013829212,15.0,0.0
134,5,75.0,134,Kew Gardens,0.6777788758235546,0.23284169013829212,15.0,0.0
134,6,90.0,134,Kew Gardens,0.4586981295724355,0.23284169013829212,15.0,0.0
134,7,105.0,134,Kew Gardens,0.23284169013829212,0.23284169013829212,15.0,0.0
138,0,0.0,138,LaGuardia Airport,3.9458189725360535,0.5473800428430207,15.0,0.0
138,1,15.0,138,LaGuardia Airport,3.503545288343333,0.5473800428430207,15.0,0.0
138,2,30.0,138,LaGuardia Airport,3.0475930365982604,0.5473800428430207,15.0,0.0
138,3,45.0,138,LaGuardia Airport,2.577539168819835,0.5473800428430207,15.0,0.0
138,4,60.0,138,LaGuardia Airport,2.092947552553417,0.5473800428430207,15.0,0.0
138,5,75.0,138,LaGuardia Airport,1.593368566711749,0.5473800428430207,15.0,0.0
138,6,90.0,138,LaGuardia Airport,1.0783386844007508,0.5473800428430207,15.0,0.0
138,7,105.0,138,LaGuardia Airport,0.5473800428430207,0.5473800428430207,15.0,0.0
139,0,0.0,139,Laurelton,1.435111430435701,0.19908448961902417,15.0,0.0
139,1,15.0,139,Laurelton,1.2742545781615227,0.19908448961902417,15.0,0.0
139,2,30.0,139,Laurelton,1.1084227716932973,0.19908448961902417,15.0,0.0
139,3,45.0,139,Laurelton,0.9374621464683228,0.19908448961902417,15.0,0.0
139,4,60.0,139,Laurelton,0.7612140792260811,0.19908448961902417,15.0,0.0
139,5,75.0,139,Laurelton,0.5795150408320174,0.19908448961902417,15.0,0.0
139,6,90.0,139,Laurelton,0.3921964445494776,0.19908448961902417,15.0,0.0
139,7,105.0,139,Laurelton,0.19908448961902417,0.19908448961902417,15.0,0.0
154,0,0.0,154,Marine Park/Floyd Bennett Field,1.5230173476802509,0.21127915569022263,15.0,0.0
154,1,15.0,154,Marine Park/Floyd Bennett Field,1.3523074144227094,0.21127915569022263,15.0,0.0
154,2,30.0,154,Marine Park/Floyd Bennett Field,1.1763177925077182,0.21127915569022263,15.0,0.0
154,3,45.0,154,Marine Park/Floyd Bennett Field,0.9948851925953561,0.21127915569022263,15.0,0.0
154,4,60.0,154,Marine Park/Floyd Bennett Field,0.8078412751599315,0.21127915569022263,15.0,0.0
154,5,75.0,154,Marine Park/Floyd Bennett Field,0.615012494298669,0.21127915569022263,15.0,0.0
154,6,90.0,154,Marine Park/Floyd Bennett Field,0.41621993670973856,0.21127915569022263,15.0,0.0
154,7,105.0,154,Marine Park/Floyd Bennett Field,0.21127915569022263,0.21127915569022263,15.0,0.0
180,0,0.0,180,Ozone Park,0.7974274433544023,0.11062237551840573,15.0,0.0
180,1,15.0,180,Ozone Park,0.7080464616865945,0.11062237551840573,15.0,0.0
180,2,30.0,180,Ozone Park,0.6159011197610194,0.11062237551840573,15.0,0.0
180,3,45.0,180,Ozone Park,0.5209059218996017,0.11062237551840573,15.0,0.0
180,4,60.0,180,Ozone Park,0.4229727282280371,0.11062237551840573,15.0,0.0
180,5,75.0,180,Ozone Park,0.3220106728965272,0.11062237551840573,15.0,0.0
180,6,90.0,180,Ozone Park,0.21792607977125927,0.11062237551840573,15.0,0.0
180,7,105.0,180,Ozone Park,0.11062237551840573,0.11062237551840573,15.0,0.0
191,0,0.0,191,Queens Village,1.09579865087822,0.15201364194352016,15.0,0.0
191,1,15.0,191,Queens Village,0.9729742360151545,0.15201364194352016,15.0,0.0
191,2,30.0,191,Queens Village,0.8463511279089014,0.15201364194352016,15.0,0.0
191,3,45.0,191,Queens Village,0.7158118412014239,0.15201364194352016,15.0,0.0
191,4,60.0,191,Queens Village,0.5812352569669111,0.15201364194352016,15.0,0.0
191,5,75.0,191,Queens Village,0.44249651033339277,0.15201364194352016,15.0,0.0
191,6,90.0,191,Queens Village,0.29946687462873467,0.15201364194352016,15.0,0.0
191,7,105.0,191,Queens Village,0.15201364194352016,0.15201364194352016,15.0,0.0
194,0,0.0,194,Randalls Island,2.1865329494126065,0.3033247363494481,15.0,0.0
194,1,15.0,194,Randalls Island,1.941451766044493,0.3033247363494481,15.0,0.0
194,2,30.0,194,Randalls Island,1.6887907522629328,0.3033247363494481,15.0,0.0
194,3,45.0,194,Randalls Island,1.4283154803231803,0.3033247363494481,15.0,0.0
194,4,60.0,194,Randalls Island,1.1597842721378684,0.3033247363494481,15.0,0.0
194,5,75.0,194,Randalls Island,0.8829479750396085,0.3033247363494481,15.0,0.0
194,6,90.0,194,Randalls Island,0.5975497306084128,0.3033247363494481,15.0,0.0
194,7,105.0,194,Randalls Island,0.3033247363494481,0.3033247363494481,15.0,0.0
197,0,0.0,197,Richmond Hill,1.030163571083769,0.14290847694736716,15.0,0.0
197,1,15.0,197,Richmond Hill,0.9146959733364969,0.14290847694736716,15.0,0.0
197,2,30.0,197,Richmond Hill,0.7956572127722986,0.14290847694736716,15.0,0.0
197,3,45.0,197,Richmond Hill,0.6729368410566303,0.14290847694736716,15.0,0.0
197,4,60.0,197,Richmond Hill,0.5464209939270754,0.14290847694736716,15.0,0.0
197,5,75.0,197,Richmond Hill,0.415992285546091,0.14290847694736716,15.0,0.0
197,6,90.0,197,Richmond Hill,0.2815296995863133,0.14290847694736716,15.0,0.0
197,7,105.0,197,Richmond Hill,0.14290847694736716,0.14290847694736716,15.0,0.0
199,0,0.0,138,LaGuardia Airport,4.035570968268002,0.6371320385749685,6.24758157411976,1.249516314823952
199,1,15.0,138,LaGuardia Airport,3.593297284075281,0.6371320385749685,6.24758157411976,1.249516314823952
199,2,30.0,138,LaGuardia Airport,3.137345032330208,0.6371320385749685,6.24758157411976,1.249516314823952
199,3,45.0,138,LaGuardia Airport,2.6672911645517825,0.6371320385749685,6.24758157411976,1.249516314823952
199,4,60.0,138,LaGuardia Airport,2.182699548285365,0.6371320385749685,6.24758157411976,1.249516314823952
199,5,75.0,138,LaGuardia Airport,1.6831205624436967,0.6371320385749685,6.24758157411976,1.249516314823952
199,6,90.0,138,LaGuardia Airport,1.1680906801326985,0.6371320385749685,6.24758157411976,1.249516314823952
199,7,105.0,138,LaGuardia Airport,0.6371320385749685,0.6371320385749685,6.24758157411976,1.249516314823952
201,0,0.0,201,Rockaway Park,1.9081752463949864,0.2647098246000781,15.0,0.0
201,1,15.0,201,Rockaway Park,1.6942942492731015,0.2647098246000781,15.0,0.0
201,2,30.0,201,Rockaway Park,1.4737983759515705,0.2647098246000781,15.0,0.0
201,3,45.0,201,Rockaway Park,1.2464830426304045,0.2647098246000781,15.0,0.0
201,4,60.0,201,Rockaway Park,1.0121373381755943,0.2647098246000781,15.0,0.0
201,5,75.0,201,Rockaway Park,0.7705438284283672,0.2647098246000781,15.0,0.0
201,6,90.0,201,Rockaway Park,0.5214783544621537,0.2647098246000781,15.0,0.0
201,7,105.0,201,Rockaway Park,0.2647098246000781,0.2647098246000781,15.0,0.0
203,0,0.0,203,Rosedale,1.471839027905689,0.20417949119324033,15.0,0.0
203,1,15.0,203,Rosedale,1.306865501765411,0.20417949119324033,15.0,0.0
203,2,30.0,203,Rosedale,1.1367897016207944,0.20417949119324033,15.0,0.0
203,3,45.0,203,Rosedale,0.9614538251830453,0.20417949119324033,15.0,0.0
203,4,60.0,203,Rosedale,0.7806951896802115,0.20417949119324033,15.0,0.0
203,5,75.0,203,Rosedale,0.5943460809144032,0.20417949119324033,15.0,0.0
203,6,90.0,203,Rosedale,0.40223359765068345,0.20417949119324033,15.0,0.0
203,7,105.0,203,Rosedale,0.20417949119324033,0.20417949119324033,15.0,0.0
205,0,0.0,205,Saint Albans,1.1056715300308944,0.15338324786086957,15.0,0.0
205,1,15.0,205,Saint Albans,0.9817404970824999,0.15338324786086957,15.0,0.0
205,2,30.0,205,Saint Albans,0.8539765455893097,0.15338324786086957,15.0,0.0
205,3,45.0,205,Saint Albans,0.7222611316788043,0.15338324786086957,15.0,0.0
205,4,60.0,205,Saint Albans,0.5864720451731287,0.15338324786086957,15.0,0.0
205,5,75.0,205,Saint Albans,0.44648329619820526,0.15338324786086957,15.0,0.0
205,6,90.0,205,Saint Albans,0.30216499828591303,0.15338324786086957,15.0,0.0
205,7,105.0,205,Saint Albans,0.15338324786086957,0.15338324786086957,15.0,0.0
207,0,0.0,207,Saint Michaels Cemetery/Woodside,2.8231587332229373,0.3916400521920038,15.0,0.0
207,1,15.0,207,Saint Michaels Cemetery/Woodside,2.5067202897226117,0.3916400521920038,15.0,0.0
207,2,30.0,207,Saint Michaels Cemetery/Woodside,2.18049509023774,0.3916400521920038,15.0,0.0
207,3,45.0,207,Saint Michaels Cemetery/Woodside,1.8441804515935425,0.3916400521920038,15.0,0.0
207,4,60.0,207,Saint Michaels Cemetery/Woodside,1.4974643292799368,0.3916400521920038,15.0,0.0
207,5,75.0,207,Saint Michaels Cemetery/Woodside,1.140025027925704,0.3916400521920038,15.0,0.0
207,6,90.0,207,Saint Michaels Cemetery/Woodside,0.7715309028182475,0.3916400521920038,15.0,0.0
207,7,105.0,207,Saint Michaels Cemetery/Woodside,0.3916400521920038,0.3916400521920038,15.0,0.0
215,0,0.0,215,South Jamaica,1.5221061823249105,0.21115275512934675,15.0,0.0
215,1,15.0,215,South Jamaica,1.3514983785521275,0.21115275512934675,15.0,0.0
215,2,30.0,215,South Jamaica,1.1756140447657533,0.21115275512934675,15.0,0.0
215,3,45.0,215,South Jamaica,0.994289989315883,0.21115275512934675,15.0,0.0
215,4,60.0,215,South Jamaica,0.8073579733881817,0.21115275512934675,15.0,0.0
215,5,75.0,215,South Jamaica,0.6146445549060154,0.21115275512934675,15.0,0.0
215,6,90.0,215,South Jamaica,0.41597092760481313,0.21115275512934675,15.0,0.0
215,7,105.0,215,South Jamaica,0.21115275512934675,0.21115275512934675,15.0,0.0
216,0,0.0,216,South Ozone Park,1.3856845113777618,0.19222778654677344,15.0,0.0
216,1,15.0,216,South Ozone Park,1.23036775755772,0.19222778654677344,15.0,0.0
216,2,30.0,216,South Ozone Park,1.0702473927947904,0.19222778654677344,15.0,0.0
216,3,45.0,216,South Ozone Park,0.9051748518020793,0.19222778654677344,15.0,0.0
216,4,60.0,216,South Ozone Park,0.7349969744900061,0.19222778654677344,15.0,0.0
216,5,75.0,216,South Ozone Park,0.5595558638590028,0.19222778654677344,15.0,0.0
216,6,90.0,216,South Ozone Park,0.37868873949714366,0.19222778654677344,15.0,0.0
216,7,105.0,216,South Ozone Park,0.19222778654677344,0.19222778654677344,15.0,0.0
218,0,0.0,218,Springfield Gardens North,1.2289729093706936,0.17048811627358437,15.0,0.0
218,1,15.0,218,Springfield Gardens North,1.091221436182587,0.17048811627358437,15.0,0.0
218,2,30.0,218,Springfield Gardens North,0.9492096081536109,0.17048811627358437,15.0,0.0
218,3,45.0,218,Springfield Gardens North,0.8028056617319861,0.17048811627358437,15.0,0.0
218,4,60.0,218,Springfield Gardens North,0.6518737582045379,0.17048811627358437,15.0,0.0
218,5,75.0,218,Springfield Gardens North,0.4962738576607768,0.17048811627358437,15.0,0.0
218,6,90.0,218,Springfield Gardens North,0.33586158905896124,0.17048811627358437,15.0,0.0
218,7,105.0,218,Springfield Gardens North,0.17048811627358437,0.17048811627358437,15.0,0.0
219,0,0.0,219,Springfield Gardens South,2.381093729268621,0.33031499838488765,15.0,0.0
219,1,15.0,219,Springfield Gardens South,2.1142048771997253,0.33031499838488765,15.0,0.0
219,2,30.0,219,Springfield Gardens South,1.8390617307369461,0.33031499838488765,15.0,0.0
219,3,45.0,219,Springfield Gardens South,1.5554090024248026,0.33031499838488765,15.0,0.0
219,4,60.0,219,Springfield Gardens South,1.2629835093195,0.33031499838488765,15.0,0.0
219,5,75.0,219,Springfield Gardens South,0.9615139287985695,0.33031499838488765,15.0,0.0
219,6,90.0,219,Springfield Gardens South,0.6507205468182287,0.33031499838488765,15.0,0.0
219,7,105.0,219,Springfield Gardens South,0.33031499838488765,0.33031499838488765,15.0,0.0
